model,method,gene,target,argmax,correct
enhancer,archr_style,TRAT1,T_CD4|T_CD8,T_CD4,1
enhancer,archr_style,BCL11B,T_CD4|T_CD8,T_CD8,1
enhancer,archr_style,KLRF1,NK,NK,1
enhancer,archr_style,NCR1,NK,NK,1
enhancer,archr_style,KLRC1,NK,NK,1
enhancer,archr_style,SH2D1B,NK,NK,1
enhancer,archr_style,NCR3,NK,B,0
enhancer,archr_style,VCAN,Mono_CD14,Mono_CD14,1
enhancer,archr_style,S100A12,Mono_CD14,Mono_CD14,1
enhancer,archr_style,CSF3R,Mono_CD14,Mono_CD14,1
enhancer,archr_style,CD36,Mono_CD14,Mono_CD16,0
enhancer,archr_style,CCR2,Mono_CD14,pDC,0
enhancer,archr_style,CDKN1C,Mono_CD16,Mono_CD16,1
enhancer,archr_style,TCF7L2,Mono_CD16,Mono_CD16,1
enhancer,archr_style,CX3CR1,Mono_CD16,pDC,0
enhancer,archr_style,LYPD2,Mono_CD16,Mono_CD16,1
enhancer,archr_style,HES4,Mono_CD16,Mono_CD16,1
enhancer,archr_style,PAX5,B,B,1
enhancer,archr_style,EBF1,B,B,1
enhancer,archr_style,BANK1,B,B,1
enhancer,archr_style,CD22,B,B,1
enhancer,archr_style,FCRL1,B,B,1
enhancer,archr_style,TNFRSF13C,B,B,1
enhancer,archr_style,BLK,B,B,1
enhancer,archr_style,VPREB3,B,B,1
enhancer,archr_style,CD1E,DC,DC,1
enhancer,archr_style,PKIB,DC,DC,1
enhancer,archr_style,ENHO,DC,T_CD8,0
enhancer,archr_style,CLEC9A,DC,Mono_CD14,0
enhancer,archr_style,FLT3,DC|pDC,pDC,1
enhancer,archr_style,PLD4,pDC,pDC,1
enhancer,archr_style,SERPINF1,pDC,pDC,1
enhancer,archr_style,PTPRS,pDC,pDC,1
enhancer,archr_style,DERL3,pDC,B,0
enhancer,archr_style,TCF4,pDC,pDC,1
enhancer,archr_style,IRF7,pDC,pDC,1
enhancer,archr_style,ITM2C,pDC,pDC,1
enhancer,archr_style,CD68,DC|Mono_CD14|Mono_CD16,pDC,0
enhancer,archr_style,CSF1R,Mono_CD14|Mono_CD16,Mono_CD16,1
enhancer,archr_style,ITGAX,DC|Mono_CD14|Mono_CD16,Mono_CD16,1
