model,method,corr,cell_type,n_test,recall,confusion
proximal,lognorm_mean,pearson,B,397,0.9974811083123426,B:396; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,lognorm_mean,pearson,DC,111,0.8738738738738738,B:0; DC:97; Mono_CD14:10; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:4; pDC:0
proximal,lognorm_mean,pearson,Mono_CD14,1572,0.9147582697201018,B:6; DC:17; Mono_CD14:1438; Mono_CD16:54; NK:30; T_CD4:10; T_CD8:13; pDC:4
proximal,lognorm_mean,pearson,Mono_CD16,221,0.9683257918552036,B:1; DC:1; Mono_CD14:5; Mono_CD16:214; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,lognorm_mean,pearson,NK,341,0.8563049853372434,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:292; T_CD4:12; T_CD8:37; pDC:0
proximal,lognorm_mean,pearson,T_CD4,1771,0.9333709768492378,B:1; DC:3; Mono_CD14:0; Mono_CD16:0; NK:5; T_CD4:1653; T_CD8:109; pDC:0
proximal,lognorm_mean,pearson,T_CD8,1137,0.6939313984168866,B:0; DC:0; Mono_CD14:1; Mono_CD16:0; NK:309; T_CD4:36; T_CD8:789; pDC:2
proximal,lognorm_mean,pearson,pDC,56,0.9821428571428571,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:1; pDC:55
proximal,lognorm_mean,spearman,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,lognorm_mean,spearman,DC,111,0.9099099099099099,B:0; DC:101; Mono_CD14:2; Mono_CD16:5; NK:0; T_CD4:0; T_CD8:1; pDC:2
proximal,lognorm_mean,spearman,Mono_CD14,1572,0.3193384223918575,B:7; DC:19; Mono_CD14:502; Mono_CD16:999; NK:25; T_CD4:9; T_CD8:11; pDC:0
proximal,lognorm_mean,spearman,Mono_CD16,221,0.995475113122172,B:0; DC:1; Mono_CD14:0; Mono_CD16:220; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,lognorm_mean,spearman,NK,341,0.9120234604105572,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:311; T_CD4:6; T_CD8:24; pDC:0
proximal,lognorm_mean,spearman,T_CD4,1771,0.9153020892151327,B:0; DC:0; Mono_CD14:4; Mono_CD16:0; NK:29; T_CD4:1621; T_CD8:117; pDC:0
proximal,lognorm_mean,spearman,T_CD8,1137,0.6754617414248021,B:0; DC:0; Mono_CD14:2; Mono_CD16:0; NK:338; T_CD4:29; T_CD8:768; pDC:0
proximal,lognorm_mean,spearman,pDC,56,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:56
proximal,pseudobulk_cpm,pearson,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:1
proximal,pseudobulk_cpm,pearson,DC,111,0.9099099099099099,B:0; DC:101; Mono_CD14:5; Mono_CD16:0; NK:0; T_CD4:1; T_CD8:4; pDC:0
proximal,pseudobulk_cpm,pearson,Mono_CD14,1572,0.9179389312977099,B:8; DC:17; Mono_CD14:1443; Mono_CD16:44; NK:35; T_CD4:14; T_CD8:10; pDC:1
proximal,pseudobulk_cpm,pearson,Mono_CD16,221,0.9457013574660633,B:1; DC:1; Mono_CD14:10; Mono_CD16:209; NK:0; T_CD4:0; T_CD8:0; pDC:0
