cohort,model,sample_left_out,n_cells,n_types,method,top_share,top_type
HCC,proximal,9,11813,6,pseudobulk_cpm,0.31413075093674614,Hepatocyte
HCC,proximal,9,11813,6,depth_matched,0.30080243639536675,Hepatocyte
COAD,proximal,GSM6058771,32320,8,raw_mean,0.9695593532856436,Mast
COAD,proximal,GSM6058771,32320,8,cpm_mean,0.1853755143154696,Macrophage
COAD,proximal,GSM6058771,32320,8,lognorm_mean,0.6329537500213409,Mast
COAD,proximal,GSM6058771,32320,8,pseudobulk_cpm,0.2396496679357383,Macrophage
COAD,proximal,GSM6058771,32320,8,depth_matched,0.17629283116794428,Macrophage
COAD,proximal,GSM6058772,31994,8,raw_mean,0.9525126314352041,Mast
COAD,proximal,GSM6058772,31994,8,cpm_mean,0.1852894988392735,Macrophage
COAD,proximal,GSM6058772,31994,8,lognorm_mean,0.5837259319950839,Mast
COAD,proximal,GSM6058772,31994,8,pseudobulk_cpm,0.23965587873822203,Macrophage
COAD,proximal,GSM6058772,31994,8,depth_matched,0.18161955482725659,Macrophage
COAD,proximal,GSM6058774,33757,8,raw_mean,0.9493435317819399,Mast
COAD,proximal,GSM6058774,33757,8,cpm_mean,0.18806235167574398,Macrophage
COAD,proximal,GSM6058774,33757,8,lognorm_mean,0.6002970753444538,Mast
COAD,proximal,GSM6058774,33757,8,pseudobulk_cpm,0.2375919823803589,Macrophage
COAD,proximal,GSM6058774,33757,8,depth_matched,0.17648665721944307,Macrophage
COAD,proximal,GSM6058775,35429,8,raw_mean,0.9267193554444122,Mast
COAD,proximal,GSM6058775,35429,8,cpm_mean,0.19307648976665587,Macrophage
COAD,proximal,GSM6058775,35429,8,lognorm_mean,0.5653858627929604,Mast
COAD,proximal,GSM6058775,35429,8,pseudobulk_cpm,0.23762866360548282,Macrophage
COAD,proximal,GSM6058775,35429,8,depth_matched,0.18633391939641192,Macrophage
COAD,proximal,GSM6058779,33656,8,raw_mean,0.8983004526432659,Mast
COAD,proximal,GSM6058779,33656,8,cpm_mean,0.18824835596549663,Macrophage
COAD,proximal,GSM6058779,33656,8,lognorm_mean,0.5682295669997438,Mast
COAD,proximal,GSM6058779,33656,8,pseudobulk_cpm,0.2460500469724144,Macrophage
COAD,proximal,GSM6058779,33656,8,depth_matched,0.18186010760953114,Macrophage
COAD,proximal,GSM6058785,29834,8,raw_mean,0.9084825620102768,Mast
COAD,proximal,GSM6058785,29834,8,cpm_mean,0.16447873811434133,Macrophage
