cohort,model,integer,min_value,frac_below_0_5,frac_below_1,n_nonzero,raw_mean_top_share,raw_mean_top_type,cpm_mean_top_share,cpm_mean_top_type,lognorm_mean_top_share,lognorm_mean_top_type,pseudobulk_cpm_top_share,pseudobulk_cpm_top_type,depth_matched_top_share,depth_matched_top_type
HCC,proximal,True,1.0,0.0,0.0,79413387,0.6706415739948675,Endothelial_stromal,0.30097519247219845,Hepatocyte,0.3362360992301112,Hepatocyte,0.31647562018819503,Hepatocyte,0.303404619332763,Hepatocyte
HCC,enhancer,False,2.06115369216775e-09,0.5597076224733322,0.6457720154055573,142497409,0.7561270192743194,Endothelial_stromal,0.2521765386744502,Hepatocyte,0.2772885108952745,Hepatocyte,0.26395249358361433,Hepatocyte,,
COAD,proximal,True,1.0,0.0,0.0,135972192,0.9479369304801883,Mast,0.1879287396334596,Macrophage,0.6006450291798915,Mast,0.23881437493600902,Macrophage,0.17120576089553258,Macrophage
COAD,enhancer,False,2.06115369216775e-09,0.5556556770031489,0.6300950779210992,237891087,0.9763977655880429,Mast,0.20945095868350863,Mast,0.8283428111318001,Mast,0.3167429923003372,B_cell,,
LUAD,proximal,True,1.0,0.0,0.0,196201419,0.6610215788036056,B_cell,0.2526085768915597,T_NK,0.36913411636164983,T_NK,0.2411909314394974,B_cell,0.28243649276154054,T_NK
LUAD,enhancer,False,2.06115369216775e-09,0.5224857753371848,0.5644838762944028,487662526,0.712551015266791,B_cell,0.25107069078450145,T_NK,0.35516702776238224,T_NK,0.24578021867284727,B_cell,,
