path,gene,target,argmax,correct
cpm_mean_median,CD68,Macrophage,Macrophage,1
cpm_mean_median,CSF1R,Macrophage,Macrophage,1
cpm_mean_median,MRC1,Macrophage,Macrophage,1
cpm_mean_median,MSR1,Macrophage,Macrophage,1
cpm_mean_median,CD163,Macrophage,Macrophage,1
cpm_mean_median,ITGAM,Macrophage,Macrophage,1
cpm_mean_median,MS4A1,B_cell,B_cell,1
cpm_mean_median,CD79A,B_cell,B_cell,1
cpm_mean_median,CD79B,B_cell,B_cell,1
cpm_mean_median,CD19,B_cell,Macrophage,0
cpm_mean_median,BANK1,B_cell,B_cell,1
cpm_mean_median,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
cpm_mean_median,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
cpm_mean_median,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
cpm_mean_median,IL7R,NK_cytotoxic_T,CD4_T,0
cpm_mean_median,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
cpm_mean_median,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
cpm_mean_median,ALB,Hepatocyte,Hepatocyte,1
cpm_mean_median,APOB,Hepatocyte,Hepatocyte,1
cpm_mean_median,HNF4A,Hepatocyte,Hepatocyte,1
cpm_mean_median,TTR,Hepatocyte,Hepatocyte,1
cpm_mean_median,APOA1,Hepatocyte,Endothelial_stromal,0
pseudobulk_cpm,CD68,Macrophage,Macrophage,1
pseudobulk_cpm,CSF1R,Macrophage,Macrophage,1
pseudobulk_cpm,MRC1,Macrophage,Macrophage,1
pseudobulk_cpm,MSR1,Macrophage,Macrophage,1
pseudobulk_cpm,CD163,Macrophage,Macrophage,1
pseudobulk_cpm,ITGAM,Macrophage,Macrophage,1
pseudobulk_cpm,MS4A1,B_cell,B_cell,1
pseudobulk_cpm,CD79A,B_cell,B_cell,1
pseudobulk_cpm,CD79B,B_cell,B_cell,1
pseudobulk_cpm,CD19,B_cell,B_cell,1
pseudobulk_cpm,BANK1,B_cell,B_cell,1
pseudobulk_cpm,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
pseudobulk_cpm,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
pseudobulk_cpm,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
pseudobulk_cpm,IL7R,NK_cytotoxic_T,CD4_T,0
pseudobulk_cpm,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
pseudobulk_cpm,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
pseudobulk_cpm,ALB,Hepatocyte,Hepatocyte,1
pseudobulk_cpm,APOB,Hepatocyte,Hepatocyte,1
pseudobulk_cpm,HNF4A,Hepatocyte,Hepatocyte,1
pseudobulk_cpm,TTR,Hepatocyte,Hepatocyte,1
pseudobulk_cpm,APOA1,Hepatocyte,Endothelial_stromal,0
