path,gene,target,argmax,correct
seurat_profile_AverageExpression_default,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_default,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_default,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_default,IL7R,NK_cytotoxic_T,CD4_T,0
seurat_profile_AverageExpression_default,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_default,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_default,ALB,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_default,APOB,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_default,HNF4A,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_default,TTR,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_default,APOA1,Hepatocyte,Endothelial_stromal,0
seurat_profile_AverageExpression_logdata_layer,CD68,Macrophage,Macrophage,1
seurat_profile_AverageExpression_logdata_layer,CSF1R,Macrophage,Macrophage,1
seurat_profile_AverageExpression_logdata_layer,MRC1,Macrophage,Macrophage,1
seurat_profile_AverageExpression_logdata_layer,MSR1,Macrophage,Macrophage,1
seurat_profile_AverageExpression_logdata_layer,CD163,Macrophage,Macrophage,1
seurat_profile_AverageExpression_logdata_layer,ITGAM,Macrophage,Macrophage,1
seurat_profile_AverageExpression_logdata_layer,MS4A1,B_cell,B_cell,1
seurat_profile_AverageExpression_logdata_layer,CD79A,B_cell,B_cell,1
seurat_profile_AverageExpression_logdata_layer,CD79B,B_cell,B_cell,1
seurat_profile_AverageExpression_logdata_layer,CD19,B_cell,Macrophage,0
seurat_profile_AverageExpression_logdata_layer,BANK1,B_cell,B_cell,1
seurat_profile_AverageExpression_logdata_layer,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_logdata_layer,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_logdata_layer,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_logdata_layer,IL7R,NK_cytotoxic_T,CD4_T,0
seurat_profile_AverageExpression_logdata_layer,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_logdata_layer,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_logdata_layer,ALB,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_logdata_layer,APOB,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_logdata_layer,HNF4A,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_logdata_layer,TTR,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_logdata_layer,APOA1,Hepatocyte,Endothelial_stromal,0
seurat_profile_AverageExpression_returnseurat_data,CD68,Macrophage,Macrophage,1
seurat_profile_AverageExpression_returnseurat_data,CSF1R,Macrophage,Macrophage,1
seurat_profile_AverageExpression_returnseurat_data,MRC1,Macrophage,Macrophage,1
seurat_profile_AverageExpression_returnseurat_data,MSR1,Macrophage,Macrophage,1
seurat_profile_AverageExpression_returnseurat_data,CD163,Macrophage,Macrophage,1
seurat_profile_AverageExpression_returnseurat_data,ITGAM,Macrophage,Macrophage,1
seurat_profile_AverageExpression_returnseurat_data,MS4A1,B_cell,B_cell,1
seurat_profile_AverageExpression_returnseurat_data,CD79A,B_cell,B_cell,1
seurat_profile_AverageExpression_returnseurat_data,CD79B,B_cell,B_cell,1
seurat_profile_AverageExpression_returnseurat_data,CD19,B_cell,Macrophage,0
seurat_profile_AverageExpression_returnseurat_data,BANK1,B_cell,B_cell,1
seurat_profile_AverageExpression_returnseurat_data,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_returnseurat_data,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_returnseurat_data,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_returnseurat_data,IL7R,NK_cytotoxic_T,CD4_T,0
seurat_profile_AverageExpression_returnseurat_data,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_returnseurat_data,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AverageExpression_returnseurat_data,ALB,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_returnseurat_data,APOB,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_returnseurat_data,HNF4A,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_returnseurat_data,TTR,Hepatocyte,Hepatocyte,1
seurat_profile_AverageExpression_returnseurat_data,APOA1,Hepatocyte,Endothelial_stromal,0
seurat_profile_manual_mean_of_data_layer,CD68,Macrophage,Macrophage,1
seurat_profile_manual_mean_of_data_layer,CSF1R,Macrophage,Macrophage,1
seurat_profile_manual_mean_of_data_layer,MRC1,Macrophage,Macrophage,1
seurat_profile_manual_mean_of_data_layer,MSR1,Macrophage,Macrophage,1
seurat_profile_manual_mean_of_data_layer,CD163,Macrophage,Macrophage,1
seurat_profile_manual_mean_of_data_layer,ITGAM,Macrophage,Macrophage,1
seurat_profile_manual_mean_of_data_layer,MS4A1,B_cell,B_cell,1
seurat_profile_manual_mean_of_data_layer,CD79A,B_cell,B_cell,1
seurat_profile_manual_mean_of_data_layer,CD79B,B_cell,B_cell,1
seurat_profile_manual_mean_of_data_layer,CD19,B_cell,Macrophage,0
seurat_profile_manual_mean_of_data_layer,BANK1,B_cell,B_cell,1
seurat_profile_manual_mean_of_data_layer,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_manual_mean_of_data_layer,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_manual_mean_of_data_layer,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_manual_mean_of_data_layer,IL7R,NK_cytotoxic_T,CD4_T,0
seurat_profile_manual_mean_of_data_layer,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_manual_mean_of_data_layer,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_manual_mean_of_data_layer,ALB,Hepatocyte,Hepatocyte,1
seurat_profile_manual_mean_of_data_layer,APOB,Hepatocyte,Hepatocyte,1
seurat_profile_manual_mean_of_data_layer,HNF4A,Hepatocyte,Hepatocyte,1
seurat_profile_manual_mean_of_data_layer,TTR,Hepatocyte,Hepatocyte,1
seurat_profile_manual_mean_of_data_layer,APOA1,Hepatocyte,Endothelial_stromal,0
signac_profile_AverageExpression_default_scalefactor_1e4,CD68,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_1e4,CSF1R,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_1e4,MRC1,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_1e4,MSR1,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_1e4,CD163,Macrophage,Macrophage,1
