gene,argmax_cell_type,argmax_after_unshift
NSMCE1,Mast,Mast
NUCB1,Mast,Mast
NUCKS1,Mast,Mast
NUDT4,Mast,Mast
NUPR1,Mast,Mast
NUTF2,Mast,Mast
OAF,Mast,Mast
OAZ1,Mast,Mast
OAZ2,Mast,Mast
OCIAD2,Mast,Mast
ODC1,Mast,Mast
ODF2L,Mast,Mast
OLA1,Mast,Mast
OLFM4,Mast,Mast
OLFML3,Mast,Mast
OLR1,Mast,Mast
OS9,Mast,Mast
OST4,Mast,Mast
OSTC,Mast,Mast
OTUD1,Mast,Mast
P4HB,Mast,Mast
PA2G4,Mast,Mast
PABPC1,Mast,Mast
PAFAH1B3,Mast,Mast
PAICS,Mast,Mast
PALLD,Mast,Mast
PAM,Mast,Mast
PARK7,Mast,Mast
PBXIP1,Mast,Mast
PCBD1,Mast,Mast
PCBP1,Mast,Mast
PCBP2,Mast,Mast
PCOLCE,Mast,Mast
PDAP1,Mast,Mast
PDCD4,Mast,Mast
PDCD5,Mast,Mast
PDCD6,Mast,Mast
PDCL3,Mast,Mast
PDE4B,Mast,Mast
PDE4D,B_cell,B_cell
PDE4DIP,B_cell,B_cell
PDGFRA,Mast,Mast
PDGFRB,Mast,Mast
PDIA3,Mast,Mast
PDIA4,Mast,Mast
PDIA6,Mast,Mast
PDLIM1,Mast,Mast
PDLIM2,Mast,Mast
PDLIM3,Mast,Mast
PDLIM4,Mast,Mast
PDLIM7,Mast,Mast
PDXK,Mast,Mast
PDZK1IP1,Mast,Mast
PEA15,Mast,Mast
PEBP1,Mast,Mast
PECAM1,B_cell,B_cell
PERP,Mast,Mast
PFDN2,Mast,Mast
PFDN4,Mast,Mast
PFDN5,Mast,Mast
PFKFB3,Mast,Mast
PFN1,Mast,Mast
PGAM1,Mast,Mast
PGK1,Mast,Mast
PGLS,Mast,Mast
PGRMC1,Mast,Mast
PHACTR1,Mast,Mast
PHB,Mast,Mast
PHB2,Mast,Mast
PHF14,Mast,Mast
PHF20,Mast,Mast
PHGR1,Mast,Mast
PHLDA1,Mast,Mast
PHLDA2,Mast,Mast
PHPT1,Mast,Mast
PIGR,Mast,Mast
PIGT,Mast,Mast
PIK3IP1,Mast,Mast
PILRA,B_cell,B_cell
PIM2,Mast,Mast
PIM3,Mast,Mast
PKIG,Mast,Mast
