gene,argmax_cell_type,argmax_after_unshift
CTSL,Mast,Mast
CTSS,Mast,Mast
CTSW,Mast,Mast
CTSZ,Mast,Mast
CTTN,Mast,Mast
CUTA,Mast,Mast
CXADR,Mast,Mast
CXCL1,Mast,Mast
CXCL12,Mast,Mast
CXCL14,Mast,Mast
CXCL16,Mast,Mast
CXCL2,Mast,Mast
CXCL3,Mast,Mast
CXCL8,Mast,Mast
CXCR4,B_cell,B_cell
CYB5A,Mast,Mast
CYB5R3,Mast,Mast
CYBA,B_cell,B_cell
CYBB,Mast,Mast
CYBRD1,Mast,Mast
CYC1,Mast,Mast
CYCS,Mast,Mast
CYGB,Mast,Mast
CYP3A5,Mast,Mast
CYSTM1,Mast,Mast
CYTIP,Mast,Mast
DAB2,Mast,Mast
DAD1,Mast,Mast
DBI,Mast,Mast
DCN,Mast,Mast
DCTN2,Mast,Mast
DCTPP1,Mast,Mast
DDAH2,Mast,Mast
DDIT4,Mast,Mast
DDRGK1,Mast,Mast
DDT,Mast,Mast
DDX24,Mast,Mast
DDX3X,Mast,Mast
DDX5,Mast,Mast
DEK,Mast,Mast
DERL3,Mast,Mast
DKK3,Mast,Mast
DLC1,Mast,Mast
DNAJA1,Mast,Mast
DNAJB1,Mast,Mast
DNAJB6,Mast,Mast
DNAJB9,Mast,Mast
DNAJC15,Mast,Mast
DNPH1,Mast,Mast
DOK2,B_cell,B_cell
DPEP1,Mast,Mast
DPT,Mast,Mast
DPY30,Mast,Mast
DPYSL2,Mast,Mast
DRAM1,Mast,Mast
DRAP1,Mast,Mast
DSE,Mast,Mast
DSG2,Mast,Mast
DSP,Mast,Mast
DST,Mast,Mast
DSTN,Mast,Mast
DUSP1,Mast,Mast
DUSP10,Mast,Mast
DUSP14,Mast,Mast
DUSP2,B_cell,B_cell
DUSP4,Mast,Mast
DUSP5,Mast,Mast
DUSP6,Mast,Mast
DUT,Mast,Mast
DYNC1I2,Mast,Mast
DYNLL1,Mast,Mast
DYNLRB1,Mast,Mast
DYNLT1,Mast,Mast
EBP,Mast,Mast
EBPL,Mast,Mast
ECHS1,Mast,Mast
ECM1,Mast,Mast
EDF1,Mast,Mast
EDN1,Mast,Mast
EEF1A1,Mast,Mast
EEF1B2,Mast,Mast
EEF1D,Mast,Mast
EEF2,Mast,Mast
EFEMP1,Mast,Mast
EFEMP2,Mast,Mast
EFHD2,Mast,Mast
EFNA1,Mast,Mast
EGR1,Mast,Mast
EHD1,Mast,Mast
EHD2,Mast,Mast
EI24,Mast,Mast
EID1,Mast,Mast
EIF1,Mast,Mast
EIF1AX,Mast,Mast
EIF2S2,Mast,Mast
EIF3A,Mast,Mast
EIF3D,Mast,Mast
EIF3E,Mast,Mast
EIF3F,Mast,Mast
EIF3G,Mast,Mast
EIF3H,Mast,Mast
EIF3I,Mast,Mast
EIF3K,Mast,Mast
EIF3M,Mast,Mast
EIF4A1,Mast,Mast
EIF4A2,Mast,Mast
EIF4A3,Mast,Mast
EIF4B,Mast,Mast
EIF4EBP1,Mast,Mast
EIF4G2,Mast,Mast
EIF5A,Mast,Mast
EIF6,Mast,Mast
ELF1,Mast,Mast
ELF3,Mast,Mast
ELL2,Mast,Mast
EMB,B_cell,B_cell
EMILIN1,Mast,Mast
EML4,Mast,Mast
EMP1,Mast,Mast
EMP2,Mast,Mast
EMP3,Mast,Mast
ENG,Mast,Mast
ENO1,Mast,Mast
ENY2,Mast,Mast
EPAS1,Mast,Mast
EPB41L2,Mast,Mast
EPCAM,Mast,Mast
EPHA2,Mast,Mast
EPHX1,Mast,Mast
EPS8,Mast,Mast
ERBB3,Mast,Mast
EREG,Mast,Mast
ERGIC3,Mast,Mast
ERH,Mast,Mast
ERP29,Mast,Mast
ERRFI1,Mast,Mast
ESAM,Mast,Mast
ESD,Mast,Mast
ETFB,Mast,Mast
ETHE1,Mast,Mast
ETS1,Mast,Mast
ETS2,Mast,Mast
EVI2A,B_cell,B_cell
EVI2B,B_cell,B_cell
EVL,B_cell,B_cell
EZR,Mast,Mast
F3,Mast,Mast
FABP1,Mast,Mast
FABP5,Mast,Mast
FAM107B,Mast,Mast
FAM114A1,Mast,Mast
FAM162A,Mast,Mast
FAM177A1,Mast,Mast
FAM3C,Mast,Mast
FAM3D,Mast,Mast
FAU,Mast,Mast
FBL,Mast,Mast
FBLN1,Mast,Mast
FBLN2,Mast,Mast
FBN1,Mast,Mast
FCER1A,Mast,Mast
FCER1G,B_cell,B_cell
FCGR2A,B_cell,B_cell
FCGR2B,B_cell,B_cell
FCGR3A,B_cell,B_cell
FCGRT,Mast,Mast
FCN1,Mast,Mast
FDFT1,Mast,Mast
FDPS,Mast,Mast
FERMT1,Mast,Mast
FERMT2,Mast,Mast
FGF7,Mast,Mast
FGFR1,Mast,Mast
FGL2,Mast,Mast
FHL1,Mast,Mast
FHL2,Mast,Mast
FILIP1L,Mast,Mast
FIS1,Mast,Mast
FKBP10,Mast,Mast
FKBP11,Mast,Mast
FKBP1A,Mast,Mast
FKBP2,Mast,Mast
FKBP8,Mast,Mast
FKBP9,Mast,Mast
FLNA,Mast,Mast
FLOT1,Mast,Mast
FMNL1,B_cell,B_cell
FN1,Mast,Mast
FNBP1,Mast,Mast
FNDC3B,Mast,Mast
FNIP2,Mast,Mast
FOS,Mast,Mast
FOSB,Mast,Mast
FOSL2,Mast,Mast
FOXP1,Mast,Mast
FPR1,B_cell,B_cell
FPR3,B_cell,B_cell
FRZB,Mast,Mast
FSTL1,Mast,Mast
FTH1,Mast,Mast
FTL,Mast,Mast
FUS,Mast,Mast
FXYD1,Mast,Mast
FXYD3,Mast,Mast
FXYD5,B_cell,B_cell
FXYD6,Mast,Mast
FYN,B_cell,B_cell
G0S2,Mast,Mast
G3BP2,Mast,Mast
GABARAPL1,Mast,Mast
GABARAPL2,Mast,Mast
GADD45A,Mast,Mast
GADD45B,Mast,Mast
GADD45GIP1,Mast,Mast
GALNT6,Mast,Mast
GAPDH,Mast,Mast
GAS6,Mast,Mast
GATA2,Mast,Mast
GBP1,Mast,Mast
GBP2,Mast,Mast
GCSAML,Mast,Mast
GCSH,Mast,Mast
GDF15,Mast,Mast
GDI2,B_cell,B_cell
GEM,Mast,Mast
GGCT,Mast,Mast
GGH,Mast,Mast
GGT5,Mast,Mast
GIPC1,Mast,Mast
GJA1,Mast,Mast
GK,Mast,Mast
GLIPR1,B_cell,B_cell
GLIPR2,Mast,Mast
GLO1,Mast,Mast
GLRX,Mast,Mast
GLRX3,Mast,Mast
GLUL,Mast,Mast
GMDS,Mast,Mast
GMFG,Mast,Mast
GNA13,Mast,Mast
GNA15,Mast,Mast
GNAI2,Mast,Mast
GNAS,Mast,Mast
GNB1,Mast,Mast
GNB2,Mast,Mast
GNG11,Mast,Mast
GNG2,B_cell,B_cell
GNG5,Mast,Mast
GNG7,B_cell,B_cell
GNLY,Mast,Mast
GNS,Mast,Mast
GOLM1,Mast,Mast
GPBP1,Mast,Mast
