cohort,target_depth,spread,deep_type,seed,method,gene,target,argmax,correct
HCC,5629.6,1,B_cell,0,lognorm_mean,CD163,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,lognorm_mean,ITGAM,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,lognorm_mean,MS4A1,B_cell,B_cell,1
HCC,5629.6,1,B_cell,0,lognorm_mean,CD79A,B_cell,B_cell,1
HCC,5629.6,1,B_cell,0,lognorm_mean,CD79B,B_cell,B_cell,1
HCC,5629.6,1,B_cell,0,lognorm_mean,CD19,B_cell,Macrophage,0
HCC,5629.6,1,B_cell,0,lognorm_mean,BANK1,B_cell,B_cell,1
HCC,5629.6,1,B_cell,0,lognorm_mean,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
HCC,5629.6,1,B_cell,0,lognorm_mean,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
HCC,5629.6,1,B_cell,0,lognorm_mean,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
HCC,5629.6,1,B_cell,0,lognorm_mean,IL7R,NK_cytotoxic_T,CD4_T,0
HCC,5629.6,1,B_cell,0,lognorm_mean,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
HCC,5629.6,1,B_cell,0,lognorm_mean,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
HCC,5629.6,1,B_cell,0,lognorm_mean,ALB,Hepatocyte,Hepatocyte,1
HCC,5629.6,1,B_cell,0,lognorm_mean,APOB,Hepatocyte,Hepatocyte,1
HCC,5629.6,1,B_cell,0,lognorm_mean,HNF4A,Hepatocyte,Hepatocyte,1
HCC,5629.6,1,B_cell,0,lognorm_mean,TTR,Hepatocyte,Hepatocyte,1
HCC,5629.6,1,B_cell,0,lognorm_mean,APOA1,Hepatocyte,Endothelial_stromal,0
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,CD68,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,CSF1R,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,MRC1,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,MSR1,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,CD163,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,ITGAM,Macrophage,Macrophage,1
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,MS4A1,B_cell,B_cell,1
