cohort,target_depth,spread,deep_type,seed,cell_type,n_cells,imposed_factor,realised_median_rowsum,detection_rate,mean_lognorm_profile,mean_cpm_profile,mean_raw_profile,mean_zscale_profile,share_raw_mean,share_zscale_mean,share_lognorm_mean,share_pseudobulk_cpm,share_cpm_mean
HCC,5629.6,natural,none,-1,B_cell,416,,8965.5,0.12249163703602954,0.09577192434187745,0.17108639316626312,0.2519724698953741,0.04907807693790642,0.12951240376390077,0.12071856287425149,0.1364585115483319,0.1380496150556031,0.14292557741659537
HCC,5629.6,natural,none,-1,CD4_T,3305,,7159.0,0.09006309121342984,0.08832230016304927,0.17108640158610317,0.13622901247429497,-0.07525883557385897,0.0036441402908468775,0.0038323353293413173,0.02889649272882806,0.06644995722840034,0.0662617621899059
HCC,5629.6,natural,none,-1,Endothelial_stromal,1137,,13139.0,0.15729773123800692,0.10019388515416425,0.17108638688711933,0.3892513202016623,0.19256514686863613,0.6706415739948675,0.653464499572284,0.22251497005988025,0.18480752780153978,0.1885372112917023
HCC,5629.6,natural,none,-1,Hepatocyte,1415,,11612.0,0.13306252456346576,0.09841991653502166,0.171086402129392,0.23742998001976864,0.05136921357883452,0.15118905047048758,0.1742343883661249,0.3362360992301112,0.31647562018819503,0.30097519247219845
HCC,5629.6,natural,none,-1,Macrophage,2079,,8532.0,0.105058021568925,0.09304953837144364,0.1710863972766839,0.1693383301424362,-0.03240370361808552,0.026176218990590246,0.028195038494439693,0.1288622754491018,0.15486740804106072,0.16230966638152267
HCC,5629.6,natural,none,-1,NK_cytotoxic_T,3677,,9099.0,0.1096278876432852,0.09506247994006614,0.17108638775790172,0.1810861497022273,-0.02948311143027416,0.0188366124893071,0.019555175363558597,0.1470316509837468,0.13934987168520102,0.13899059024807528
HCC,5629.6,1,B_cell,0,B_cell,416,1.0,5618.0,0.06997096845227686,0.08371532089987628,0.1716531876279058,0.09178110487877983,-0.009473432092359247,0.1455104107660882,0.14240348799285923,0.14842851502823695,0.14975024460579844,0.15181008290849168
HCC,5629.6,1,B_cell,0,CD4_T,3305,1.0,5605.0,0.06614939794517607,0.08121770078277922,0.17165315496587627,0.08718587628188382,-0.021561447503984817,0.04112810477710833,0.0390854317936042,0.04864651458193865,0.06610364419726385,0.06667009973050449
HCC,5629.6,1,B_cell,0,Endothelial_stromal,1137,1.0,5624.0,0.06921616460244921,0.08277179175837047,0.17165317803997882,0.09303279924129591,-0.0027333426192295714,0.1980362874847658,0.19496369534991503,0.18921331342156308,0.19166795406560586,0.19266354257857424
HCC,5629.6,1,B_cell,0,Hepatocyte,1415,1.0,5621.0,0.07001937110982387,0.08348805877637448,0.1716531632374035,0.09225824088474543,0.002006698300159421,0.29723466707863433,0.30789433029507185,0.30743086667696584,0.2953464819678322,0.29292617196216764
HCC,5629.6,1,B_cell,0,Macrophage,2079,1.0,5616.0,0.06926605368972971,0.0831328920417068,0.1716531659375983,0.09157429450269795,-0.005389286142755447,0.15756046483684363,0.1563073965360386,0.15560361844928505,0.1603069159071013,0.1580239284549496
HCC,5629.6,1,B_cell,0,NK_cytotoxic_T,3677,1.0,5622.0,0.07066467187502469,0.08412214744156583,0.1716531468996632,0.09341142157744298,-0.011659385085965056,0.16053006505655973,0.1593456580325111,0.1506771718420104,0.13682475925639837,0.13790617436531233
HCC,5629.6,2,B_cell,0,B_cell,416,1.0,5617.0,0.06996036295101717,0.08389515139371033,0.17203413705020706,0.09197258966948275,0.07213164133873064,0.3570740434902285,0.3514657308009909,0.26887214423341593,0.14817299752270852,0.14948045692265347
HCC,5629.6,2,B_cell,0,CD4_T,3305,0.5743491774985174,3207.0,0.04166839708627145,0.06654911545355552,0.17203406911723576,0.05019126239426538,-0.03329377903095867,0.01847646573080099,0.018270024772914947,0.03800233966418937,0.07677883292045141,0.0763831544178365
HCC,5629.6,2,B_cell,0,Endothelial_stromal,1137,0.8705505632961241,4894.0,0.06194117082090845,0.0794371571552968,0.17203413804996218,0.08118127259139507,0.04835528727295002,0.2905484448114506,0.2867636939168731,0.2390242224057253,0.18658821910266998,0.18684627030002754
HCC,5629.6,2,B_cell,0,Hepatocyte,1415,0.6597539553864471,3701.0,0.04960834418514151,0.07254760934056217,0.17203414919375937,0.060997734742092274,0.0025681827953336236,0.17685108725571153,0.18660542251582715,0.2512902559867878,0.29183870079823837,0.2881055601431324
HCC,5629.6,2,B_cell,0,Macrophage,2079,0.757858283255199,4251.0,0.05522448450797361,0.07600759026744618,0.17203412892501305,0.06954021755838437,0.019714688897790215,0.14499036608863197,0.1448183319570603,0.1606110652353427,0.15873589320121112,0.1599057252958987
HCC,5629.6,2,B_cell,0,NK_cytotoxic_T,3677,0.5,2805.0,0.03953999622959741,0.06544745592213473,0.17203412896095835,0.046787412075914574,-0.042724528508545544,0.012059592623176438,0.012076796036333609,0.042199972474538945,0.1378853564547206,0.13927883292045143
HCC,5629.6,5,B_cell,0,B_cell,416,1.0,5617.5,0.06993963769664704,0.08411175985229838,0.17250004843918085,0.09222067930516982,0.13684426004833736,0.4878646219661555,0.48046437011609255,0.3540390885097721,0.14303703575925894,0.1439512859878215
HCC,5629.6,5,B_cell,0,CD4_T,3305,0.5253055608807534,2929.0,0.038555695118535335,0.06426926971627957,0.17250008106160647,0.046028784124442626,0.0005994417189057941,0.04221076055269014,0.041158510289627574,0.06836176709044177,0.07427851856962964,0.0766935191733798
HCC,5629.6,5,B_cell,0,Endothelial_stromal,1137,0.2,1121.0,0.016912476306355922,0.04091818089047048,0.17250003959394453,0.018691980266662613,-0.0772285137718034,0.019889254972313742,0.021234755308688825,0.0688447672111918,0.21804005451001363,0.21408980352245088
HCC,5629.6,5,B_cell,0,Hepatocyte,1415,0.3807307877431757,2133.0,0.03060248584504718,0.05745248715099628,0.17250003244306678,0.03528232984531744,-0.02373706108275273,0.10667402666850667,0.11326352831588207,0.22364630591157647,0.2735850683962671,0.2714978178744545
HCC,5629.6,5,B_cell,0,Macrophage,2079,0.7247796636776955,4066.0,0.05320550554195414,0.07499989127315194,0.17250002808691275,0.0666917443064137,0.06613003056429874,0.3388763347190837,0.3395145848786462,0.272067068016767,0.15161028790257197,0.15228303807075952
HCC,5629.6,5,B_cell,0,NK_cytotoxic_T,3677,0.27594593229224296,1548.0,0.023154943098314243,0.0494055741640594,0.1725000571489594,0.025910998318924443,-0.05888336032904745,0.00448500112125028,0.004364251091062773,0.013041003260250815,0.1394490348622587,0.14148453537113384
HCC,5629.6,10,B_cell,0,B_cell,416,1.0,5611.0,0.06986523727177933,0.08436636994184332,0.17310322643437778,0.09242513618563059,0.22973666629354553,0.5124374664612509,0.5019820318856134,0.38655680382211915,0.13043327736329174,0.1358860288389967
HCC,5629.6,10,B_cell,0,CD4_T,3305,0.251188643150958,1395.0,0.019800973085574443,0.04495089410779536,0.17310322903102351,0.02209082032045361,-0.026521394748564363,0.013432809984593813,0.013311637729578147,0.028510100572971663,0.09338918797278817,0.09233325832193737
HCC,5629.6,10,B_cell,0,Endothelial_stromal,1137,0.3981071705534972,2237.0,0.031769569485644744,0.05868712102562792,0.1731032281903751,0.037359115939163454,0.031782627691898546,0.08771140230919697,0.08892312485935364,0.1542349703127975,0.17073170731707318,0.1749034949540411
HCC,5629.6,10,B_cell,0,Hepatocyte,1415,0.6309573444801932,3542.0,0.047739566124031636,0.07174262598650111,0.17310320037736834,0.05869626850010094,0.11340301891937654,0.37807474597102253,0.3874050096072288,0.3976180996728349,0.2578372483511918,0.2545309768214786
HCC,5629.6,10,B_cell,0,Macrophage,2079,0.1,555.0,0.008651034819259119,0.02663430173940718,0.17310322182747634,0.009228383356375878,-0.07349081445200588,0.0048815108449168235,0.0049680624556423,0.022191832990011946,0.2032404923055618,0.1975800169641157
HCC,5629.6,10,B_cell,0,NK_cytotoxic_T,3677,0.15848931924611134,886.0,0.013756844845781123,0.03621044987310909,0.17310319811962083,0.014924939039490288,-0.05333455283531871,0.0034620644290190242,0.0034101334625837388,0.010888192629264831,0.1443680866900933,0.1447662240994305
HCC,5629.6,20,B_cell,0,B_cell,416,1.0,5618.0,0.06989932060025518,0.08452797131619978,0.17340038786869022,0.09264799055634845,0.22425209392932802,0.6673833882434541,0.6611756545864401,0.4549159008149818,0.13672620079764175,0.13471475637246402
HCC,5629.6,20,B_cell,0,CD4_T,3305,0.5492802716530588,3064.0,0.04008058902286001,0.06583652506069368,0.1734003957561353,0.04837656581724963,0.06578457157159524,0.1492803884168545,0.14295127449280387,0.15097971215536674,0.08342292353043176,0.08600658921449628
HCC,5629.6,20,B_cell,0,Endothelial_stromal,1137,0.091028210151304,510.0,0.008014870096590316,0.025327824444127414,0.17340037887065085,0.008572460389755865,-0.07421007933160662,0.01435755158661349,0.015051153112536847,0.05423963932720652,0.188018033639674,0.20060690133518294
HCC,5629.6,20,B_cell,0,Hepatocyte,1415,0.30170881682725814,1687.0,0.024755165654079165,0.05145517063408671,0.17340037930813249,0.02809149903097985,0.0018880220628556478,0.16025663256459163,0.17189179816195596,0.30525403155886943,0.23993410785503727,0.2463846020461245
HCC,5629.6,20,B_cell,0,Macrophage,2079,0.05,278.0,0.0044094991135489574,0.016566609732477724,0.1734003775000405,0.004629398178903987,-0.08942784160060085,0.003936188659615051,0.0040402288885035545,0.02072134558696029,0.20913820010404022,0.1901855384081845
HCC,5629.6,20,B_cell,0,NK_cytotoxic_T,3677,0.16572270086699936,928.0,0.014355831892985048,0.03726133571304112,0.17340037233317923,0.015637568963434968,-0.05095835030158911,0.004785850528871163,0.004889890757759667,0.013889370556615224,0.14276053407317496,0.14210161262354778
HCC,5629.6,40,B_cell,0,B_cell,416,1.0,5616.0,0.0699604034300296,0.0848282588124065,0.17395237437032762,0.09299602518830344,0.2374411989428941,0.7533529319672274,0.7534746986275158,0.570459408214031,0.13474350722772105,0.13559587384973995
HCC,5629.6,40,B_cell,0,CD4_T,3305,0.22865252596366314,1269.0,0.01813938813330842,0.04287510277836252,0.17395237875781894,0.020211776091349158,-0.027590694566085497,0.0426009358637605,0.0429836310818098,0.06324908240123854,0.11211230365126028,0.11308643693356758
HCC,5629.6,40,B_cell,0,Endothelial_stromal,1137,0.05228197762956365,292.0,0.004661915386152804,0.017310947007941554,0.17395236995018737,0.004926370948552492,-0.08289597339817104,0.015934037260598048,0.01678640388261694,0.05538643519404387,0.1785969001687338,0.18014507627811505
HCC,5629.6,40,B_cell,0,Hepatocyte,1415,0.10933620739432781,610.0,0.009500965580355297,0.028524854096388344,0.1739523698910963,0.010211053400857997,-0.06056384378830579,0.04940247360272757,0.05256840677022631,0.13950980221615322,0.2519178248995425,0.24617739662880303
HCC,5629.6,40,B_cell,0,Macrophage,2079,0.025,137.0,0.0022223218484900727,0.00992163718692513,0.17395237185508083,0.0023183441695453105,-0.0934281952306831,0.003896533129229217,0.003913928366413276,0.01730826099813871,0.17831857637378887,0.1817802285734166
HCC,5629.6,40,B_cell,0,NK_cytotoxic_T,3677,0.47817624989501845,2684.0,0.03803705596359604,0.0649282320435803,0.17395236346417253,0.04526253961597324,0.061029711278538484,0.1348130881764573,0.1302729312714179,0.15408701097639466,0.1443108876789535,0.1432149877363578
HCC,5629.6,1,B_cell,1,B_cell,416,1.0,5621.0,0.06995161948432976,0.08367317556555744,0.17159722719968062,0.09174293118423206,-0.009457645414789448,0.14707598325211066,0.1430091289724758,0.14978721943853388,0.15110851808634773,0.15291028896973025
HCC,5629.6,1,B_cell,1,CD4_T,3305,1.0,5604.0,0.06614552058244,0.0811912359511728,0.1715972128058398,0.08714876955182961,-0.02153060140011061,0.04075434140984282,0.03859221634978379,0.04830461939735054,0.06436611984350332,0.06536138376003844
HCC,5629.6,1,B_cell,1,Endothelial_stromal,1137,1.0,5622.0,0.06920510133589314,0.08273891075709433,0.17159721631144875,0.09299735109420473,-0.0028528344875000384,0.19869242913034527,0.19529480403596677,0.18999244972201249,0.19345871370718648,0.19438533873292607
HCC,5629.6,1,B_cell,1,Hepatocyte,1415,1.0,5620.0,0.07002003754026474,0.08346130437194274,0.1715972089016197,0.09223447966748702,0.001888720893284874,0.2973436749262132,0.30794838355412174,0.3070217585283822,0.2961939735053882,0.2929336261926007
HCC,5629.6,1,B_cell,1,Macrophage,2079,1.0,5618.0,0.06927560323198952,0.08311143955857762,0.17159719242540802,0.0915590391360863,-0.005372197392479181,0.15802388633399683,0.15807536550209347,0.15661678907268858,0.15994577527627155,0.15891619191433867
