cohort,target_depth,spread,deep_type,seed,cell_type,n_cells,imposed_factor,realised_median_rowsum,detection_rate,mean_lognorm_profile,mean_cpm_profile,mean_raw_profile,mean_zscale_profile,share_raw_mean,share_zscale_mean,share_lognorm_mean,share_pseudobulk_cpm,share_cpm_mean
HCC,5629.6,natural,none,-1,B_cell,416,,8965.5,0.1224916370360295,0.0957719243418774,0.1710863931662631,0.2519724698953741,0.0490780769379064,0.1295124037639007,0.1207185628742514,0.1364585115483319,0.1380496150556031,0.1429255774165953
HCC,5629.6,natural,none,-1,CD4_T,3305,,7159.0,0.0900630912134298,0.0883223001630492,0.1710864015861031,0.1362290124742949,-0.0752588355738589,0.0036441402908468,0.0038323353293413,0.028896492728828,0.0664499572284003,0.0662617621899059
HCC,5629.6,natural,none,-1,Endothelial_stromal,1137,,13139.0,0.1572977312380069,0.1001938851541642,0.1710863868871193,0.3892513202016623,0.1925651468686361,0.6706415739948675,0.653464499572284,0.2225149700598802,0.1848075278015397,0.1885372112917023
HCC,5629.6,natural,none,-1,Hepatocyte,1415,,11612.0,0.1330625245634657,0.0984199165350216,0.171086402129392,0.2374299800197686,0.0513692135788345,0.1511890504704875,0.1742343883661249,0.3362360992301112,0.316475620188195,0.3009751924721984
HCC,5629.6,natural,none,-1,Macrophage,2079,,8532.0,0.105058021568925,0.0930495383714436,0.1710863972766839,0.1693383301424362,-0.0324037036180855,0.0261762189905902,0.0281950384944396,0.1288622754491018,0.1548674080410607,0.1623096663815226
HCC,5629.6,natural,none,-1,NK_cytotoxic_T,3677,,9099.0,0.1096278876432852,0.0950624799400661,0.1710863877579017,0.1810861497022273,-0.0294831114302741,0.0188366124893071,0.0195551753635585,0.1470316509837468,0.139349871685201,0.1389905902480752
HCC,5629.6,1,B_cell,0,B_cell,416,1.0,5618.0,0.0699709684522768,0.0837153208998762,0.1716531876279058,0.0917811048787798,-0.0094734320923592,0.1455104107660882,0.1424034879928592,0.1484285150282369,0.1497502446057984,0.1518100829084916
HCC,5629.6,1,B_cell,0,CD4_T,3305,1.0,5605.0,0.066149397945176,0.0812177007827792,0.1716531549658762,0.0871858762818838,-0.0215614475039848,0.0411281047771083,0.0390854317936042,0.0486465145819386,0.0661036441972638,0.0666700997305044
HCC,5629.6,1,B_cell,0,Endothelial_stromal,1137,1.0,5624.0,0.0692161646024492,0.0827717917583704,0.1716531780399788,0.0930327992412959,-0.0027333426192295,0.1980362874847658,0.194963695349915,0.189213313421563,0.1916679540656058,0.1926635425785742
HCC,5629.6,1,B_cell,0,Hepatocyte,1415,1.0,5621.0,0.0700193711098238,0.0834880587763744,0.1716531632374035,0.0922582408847454,0.0020066983001594,0.2972346670786343,0.3078943302950718,0.3074308666769658,0.2953464819678322,0.2929261719621676
HCC,5629.6,1,B_cell,0,Macrophage,2079,1.0,5616.0,0.0692660536897297,0.0831328920417068,0.1716531659375983,0.0915742945026979,-0.0053892861427554,0.1575604648368436,0.1563073965360386,0.155603618449285,0.1603069159071013,0.1580239284549496
HCC,5629.6,1,B_cell,0,NK_cytotoxic_T,3677,1.0,5622.0,0.0706646718750246,0.0841221474415658,0.1716531468996632,0.0934114215774429,-0.011659385085965,0.1605300650565597,0.1593456580325111,0.1506771718420104,0.1368247592563983,0.1379061743653123
