cohort,target_depth,spread,deep_type,seed,method,n_cells,n_genes_expressed,realised_spread,top_share,top_type,deep_wins,deep_type_share,shallowest_type,rho_depth_share,p_depth_share,rho_detection_share,markers_correct,markers_total,perm_p,null_mean,per_lineage
HCC,5629.6,5,B_cell,0,cpm_mean,12029,57971,5.01115083694458,0.2714978178744545,Hepatocyte,0.0,0.1439512859878215,Endothelial_stromal,-0.2571428571428572,0.6227871720116619,-0.2571428571428572,19,22,0.0,5.075,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,0,raw_mean,12029,57769,10.109910011291504,0.5124374664612509,B_cell,1.0,0.5124374664612509,Macrophage,0.942857142857143,0.004804664723032,0.942857142857143,9,22,0.0005,4.277,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,10,B_cell,0,zscale_mean,12029,57769,10.109910011291504,0.5019820318856134,B_cell,1.0,0.5019820318856134,Macrophage,0.942857142857143,0.004804664723032,0.942857142857143,10,22,0.0005,4.36,B_cell 5/5; Hepatocyte 5/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,10,B_cell,0,lognorm_mean,12029,57769,10.109910011291504,0.3976180996728349,Hepatocyte,0.0,0.3865568038221191,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,15,22,0.0,4.574,B_cell 5/5; Hepatocyte 4/5; Macrophage 1/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,0,pseudobulk_cpm,12029,57769,10.109910011291504,0.2578372483511918,Hepatocyte,0.0,0.1304332773632917,Macrophage,-0.0857142857142857,0.8717434402332361,-0.0857142857142857,20,22,0.0,4.9855,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,0,cpm_mean,12029,57769,10.109910011291504,0.2545309768214786,Hepatocyte,0.0,0.1358860288389967,Macrophage,-0.0857142857142857,0.8717434402332361,-0.0857142857142857,20,22,0.0,5.078,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,20,B_cell,0,raw_mean,12029,57670,20.20863342285156,0.6673833882434541,B_cell,1.0,0.6673833882434541,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,9,22,0.0005,3.8515,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,0,zscale_mean,12029,57670,20.20863342285156,0.6611756545864401,B_cell,1.0,0.6611756545864401,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,9,22,0.0,3.6295,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,0,lognorm_mean,12029,57670,20.20863342285156,0.4549159008149818,B_cell,1.0,0.4549159008149818,Macrophage,0.7714285714285715,0.0723965014577259,0.7714285714285715,11,22,0.0,4.2185,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 2/6
HCC,5629.6,20,B_cell,0,pseudobulk_cpm,12029,57670,20.20863342285156,0.2399341078550372,Hepatocyte,0.0,0.1367262007976417,Macrophage,-0.6,0.208,-0.6,19,22,0.0,5.2075,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,20,B_cell,0,cpm_mean,12029,57670,20.20863342285156,0.2463846020461245,Hepatocyte,0.0,0.134714756372464,Macrophage,-0.5428571428571429,0.2657026239067054,-0.5428571428571429,19,22,0.0,5.2695,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,40,B_cell,0,raw_mean,12029,57487,40.99270248413086,0.7533529319672274,B_cell,1.0,0.7533529319672274,Macrophage,0.942857142857143,0.004804664723032,0.942857142857143,13,22,0.0,5.031,B_cell 5/5; Hepatocyte 2/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,0,zscale_mean,12029,57487,40.99270248413086,0.7534746986275158,B_cell,1.0,0.7534746986275158,Macrophage,0.942857142857143,0.004804664723032,0.942857142857143,13,22,0.0,5.0355,B_cell 5/5; Hepatocyte 2/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,0,lognorm_mean,12029,57487,40.99270248413086,0.570459408214031,B_cell,1.0,0.570459408214031,Macrophage,0.942857142857143,0.004804664723032,0.942857142857143,15,22,0.0,5.065,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,0,pseudobulk_cpm,12029,57487,40.99270248413086,0.2519178248995425,Hepatocyte,0.0,0.134743507227721,Macrophage,-0.6,0.208,-0.6,20,22,0.0,5.207,B_cell 5/5; Hepatocyte 5/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,40,B_cell,0,cpm_mean,12029,57487,40.99270248413086,0.246177396628803,Hepatocyte,0.0,0.1355958738497399,Macrophage,-0.6571428571428573,0.1561749271137024,-0.6571428571428573,20,22,0.0,5.2585,B_cell 5/5; Hepatocyte 5/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,raw_mean,12029,58276,1.0032119750976562,0.2973436749262132,Hepatocyte,0.0,0.1470759832521106,CD4_T,,,0.4857142857142857,20,22,0.0,5.0725,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,zscale_mean,12029,58276,1.0032119750976562,0.3079483835541217,Hepatocyte,0.0,0.1430091289724758,CD4_T,,,0.3142857142857143,20,22,0.0,5.03,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,lognorm_mean,12029,58276,1.0032119750976562,0.3070217585283822,Hepatocyte,0.0,0.1497872194385338,CD4_T,,,0.2,20,22,0.0,5.0365,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,pseudobulk_cpm,12029,58276,1.0032119750976562,0.2961939735053882,Hepatocyte,0.0,0.1511085180863477,CD4_T,,,0.2,20,22,0.0,5.0725,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,cpm_mean,12029,58276,1.0032119750976562,0.2929336261926007,Hepatocyte,0.0,0.1529102889697302,CD4_T,,,0.2,20,22,0.0,5.088,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,1,raw_mean,12029,58146,2.016146421432495,0.4072851098957796,Hepatocyte,0.0,0.3321122691156743,CD4_T,0.7714285714285715,0.0723965014577259,0.7714285714285715,20,22,0.0,5.522,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 6/6
HCC,5629.6,2,B_cell,1,zscale_mean,12029,58146,2.016146421432495,0.4136999965603825,Hepatocyte,0.0,0.3257833728889348,CD4_T,0.7714285714285715,0.0723965014577259,0.7714285714285715,20,22,0.0,5.468,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 6/6
HCC,5629.6,2,B_cell,1,lognorm_mean,12029,58146,2.016146421432495,0.356137997454683,Hepatocyte,0.0,0.2226292436281085,CD4_T,0.7142857142857143,0.1107871720116617,0.7142857142857143,20,22,0.0,5.113,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,1,pseudobulk_cpm,12029,58146,2.016146421432495,0.2886011075568396,Hepatocyte,0.0,0.1462525367179169,CD4_T,0.3142857142857143,0.5440932944606415,0.3142857142857143,20,22,0.0,5.044,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,1,cpm_mean,12029,58146,2.016146421432495,0.2849035187287174,Hepatocyte,0.0,0.1485054861899356,CD4_T,0.3142857142857143,0.5440932944606415,0.3142857142857143,19,22,0.0,5.062,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,5,B_cell,1,raw_mean,12029,57999,5.014719009399414,0.4681115191641235,B_cell,1.0,0.4681115191641235,Endothelial_stromal,0.8285714285714287,0.0415626822157433,0.8285714285714287,16,22,0.0,4.6595,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 2/6
HCC,5629.6,5,B_cell,1,zscale_mean,12029,57999,5.014719009399414,0.4602837979965172,B_cell,1.0,0.4602837979965172,Endothelial_stromal,0.8285714285714287,0.0415626822157433,0.8285714285714287,18,22,0.0,4.9515,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 3/6
HCC,5629.6,5,B_cell,1,lognorm_mean,12029,57999,5.014719009399414,0.3487301505198365,B_cell,1.0,0.3487301505198365,Endothelial_stromal,0.7714285714285715,0.0723965014577259,0.7714285714285715,20,22,0.0,5.3065,B_cell 4/5; Hepatocyte 5/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,5,B_cell,1,pseudobulk_cpm,12029,57999,5.014719009399414,0.274384041104157,Hepatocyte,0.0,0.1411231228124622,Endothelial_stromal,0.0285714285714285,0.9571545189504372,0.0285714285714285,19,22,0.0,5.45,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,5,B_cell,1,cpm_mean,12029,57999,5.014719009399414,0.2684873877135812,Hepatocyte,0.0,0.1423300401731064,Endothelial_stromal,0.0285714285714285,0.9571545189504372,0.0285714285714285,19,22,0.0,5.411,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,1,raw_mean,12029,57811,10.101618766784668,0.6075314386535434,B_cell,1.0,0.6075314386535434,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,7,22,0.0015,3.428,B_cell 5/5; Hepatocyte 2/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,10,B_cell,1,zscale_mean,12029,57811,10.101618766784668,0.6020134576464686,B_cell,1.0,0.6020134576464686,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,8,22,0.0015,3.624,B_cell 5/5; Hepatocyte 3/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,10,B_cell,1,lognorm_mean,12029,57811,10.101618766784668,0.4097490097040355,B_cell,1.0,0.4097490097040355,Macrophage,0.7714285714285715,0.0723965014577259,0.7714285714285715,13,22,0.0,4.082,B_cell 5/5; Hepatocyte 4/5; Macrophage 1/6; NK_cytotoxic_T 3/6
HCC,5629.6,10,B_cell,1,pseudobulk_cpm,12029,57811,10.101618766784668,0.2728892425316981,Hepatocyte,0.0,0.1316012523568179,Macrophage,-0.6571428571428573,0.1561749271137024,-0.6571428571428573,19,22,0.0,5.3835,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,1,cpm_mean,12029,57811,10.101618766784668,0.2700005189323831,Hepatocyte,0.0,0.1375862725086921,Macrophage,-0.6571428571428573,0.1561749271137024,-0.6571428571428573,19,22,0.0,5.36,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,20,B_cell,1,raw_mean,12029,57655,20.13978576660156,0.5982828896019425,B_cell,1.0,0.5982828896019425,NK_cytotoxic_T,0.942857142857143,0.004804664723032,0.942857142857143,14,22,0.0,4.9995,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,1,zscale_mean,12029,57655,20.13978576660156,0.5870436215419305,B_cell,1.0,0.5870436215419305,NK_cytotoxic_T,0.942857142857143,0.004804664723032,0.942857142857143,14,22,0.0,5.1025,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,1,lognorm_mean,12029,57655,20.13978576660156,0.4229468389558581,B_cell,1.0,0.4229468389558581,NK_cytotoxic_T,0.942857142857143,0.004804664723032,0.942857142857143,15,22,0.0,4.5185,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,1,pseudobulk_cpm,12029,57655,20.13978576660156,0.2438817101725782,Hepatocyte,0.0,0.1325470470904518,NK_cytotoxic_T,-0.3142857142857143,0.5440932944606415,-0.3142857142857143,19,22,0.0,4.73,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 4/6
HCC,5629.6,20,B_cell,1,cpm_mean,12029,57655,20.13978576660156,0.2478536120024282,Hepatocyte,0.0,0.1306911802965918,NK_cytotoxic_T,-0.3142857142857143,0.5440932944606415,-0.3142857142857143,19,22,0.0,4.809,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 4/6
HCC,5629.6,40,B_cell,1,raw_mean,12029,57436,40.43165588378906,0.6118462288460199,B_cell,1.0,0.6118462288460199,Endothelial_stromal,0.942857142857143,0.004804664723032,0.942857142857143,11,22,0.0005,5.168,B_cell 5/5; Hepatocyte 4/5; Macrophage 1/6; NK_cytotoxic_T 1/6
HCC,5629.6,40,B_cell,1,zscale_mean,12029,57436,40.43165588378906,0.6002333031548158,B_cell,1.0,0.6002333031548158,Endothelial_stromal,0.942857142857143,0.004804664723032,0.942857142857143,12,22,0.0,5.0795,B_cell 5/5; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 1/6
HCC,5629.6,40,B_cell,1,lognorm_mean,12029,57436,40.43165588378906,0.4583884671634515,B_cell,1.0,0.4583884671634515,Endothelial_stromal,0.8285714285714287,0.0415626822157433,0.8285714285714287,19,22,0.0,5.4905,B_cell 5/5; Hepatocyte 4/5; Macrophage 4/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,1,pseudobulk_cpm,12029,57436,40.43165588378906,0.2543700814819973,Hepatocyte,0.0,0.1202381781461104,Endothelial_stromal,-0.2571428571428572,0.6227871720116619,-0.2571428571428572,17,22,0.0,4.8435,B_cell 4/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 4/6
HCC,5629.6,40,B_cell,1,cpm_mean,12029,57436,40.43165588378906,0.2548227592450727,Hepatocyte,0.0,0.1228671913085869,Endothelial_stromal,-0.2571428571428572,0.6227871720116619,-0.2571428571428572,17,22,0.0,4.4745,B_cell 4/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 4/6
HCC,5629.6,1,B_cell,2,raw_mean,12029,58267,1.0032113790512085,0.2971836545557519,Hepatocyte,0.0,0.1465151801191068,CD4_T,,,0.4857142857142857,19,22,0.0,5.1315,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,2,zscale_mean,12029,58267,1.0032113790512085,0.308888393086996,Hepatocyte,0.0,0.142687970892615,CD4_T,,,0.4857142857142857,19,22,0.0,5.0985,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,2,lognorm_mean,12029,58267,1.0032113790512085,0.3078243259477921,Hepatocyte,0.0,0.1497931934027837,CD4_T,,,0.2,19,22,0.0,5.161,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,2,pseudobulk_cpm,12029,58267,1.0032113790512085,0.2963598606415295,Hepatocyte,0.0,0.1508744229152007,CD4_T,,,0.2,19,22,0.0,4.969,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,2,cpm_mean,12029,58267,1.0032113790512085,0.2931161721042786,Hepatocyte,0.0,0.1535689155096366,CD4_T,,,0.2,19,22,0.0,5.1145,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,2,raw_mean,12029,58150,2.0143473148345947,0.3509028374892519,B_cell,1.0,0.3509028374892519,CD4_T,0.942857142857143,0.004804664723032,0.942857142857143,19,22,0.0,4.7145,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,2,zscale_mean,12029,58150,2.0143473148345947,0.3459501289767842,B_cell,1.0,0.3459501289767842,CD4_T,0.942857142857143,0.004804664723032,0.942857142857143,19,22,0.0,4.7965,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,2,lognorm_mean,12029,58150,2.0143473148345947,0.2580739466895959,B_cell,1.0,0.2580739466895959,CD4_T,0.8285714285714287,0.0415626822157433,0.8285714285714287,19,22,0.0,5.148,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,2,pseudobulk_cpm,12029,58150,2.0143473148345947,0.2940326741186586,Hepatocyte,0.0,0.1471195184866724,CD4_T,0.4857142857142857,0.3287230320699708,0.4857142857142857,19,22,0.0,5.132,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,2,cpm_mean,12029,58150,2.0143473148345947,0.2876354256233878,Hepatocyte,0.0,0.1484092863284608,CD4_T,0.4857142857142857,0.3287230320699708,0.4857142857142857,19,22,0.0,5.0395,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,5,B_cell,2,raw_mean,12029,57990,5.024150371551514,0.5300224176582169,B_cell,1.0,0.5300224176582169,Endothelial_stromal,0.8857142857142858,0.0188454810495626,0.8857142857142858,15,22,0.0,4.1235,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 1/6
HCC,5629.6,5,B_cell,2,zscale_mean,12029,57990,5.024150371551514,0.5230384549060183,B_cell,1.0,0.5230384549060183,Endothelial_stromal,0.7714285714285715,0.0723965014577259,0.7714285714285715,15,22,0.0,4.129,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 1/6
HCC,5629.6,5,B_cell,2,lognorm_mean,12029,57990,5.024150371551514,0.348594585273323,B_cell,1.0,0.348594585273323,Endothelial_stromal,0.7142857142857143,0.1107871720116617,0.7142857142857143,18,22,0.0,4.528,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 3/6
HCC,5629.6,5,B_cell,2,pseudobulk_cpm,12029,57990,5.024150371551514,0.2772546990860493,Hepatocyte,0.0,0.1428522158992929,Endothelial_stromal,-0.6571428571428573,0.1561749271137024,-0.6571428571428573,19,22,0.0,5.3615,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,5,B_cell,2,cpm_mean,12029,57990,5.024150371551514,0.2726677013278151,Hepatocyte,0.0,0.1443697189170546,Endothelial_stromal,-0.4285714285714286,0.3965014577259473,-0.4285714285714286,19,22,0.0,5.366,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,2,raw_mean,12029,57803,10.10431671142578,0.6096915385014618,B_cell,1.0,0.6096915385014618,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,15,22,0.0,4.8175,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,10,B_cell,2,zscale_mean,12029,57803,10.10431671142578,0.6018372748819265,B_cell,1.0,0.6018372748819265,Macrophage,0.8857142857142858,0.0188454810495626,0.8857142857142858,15,22,0.0,4.808,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,10,B_cell,2,lognorm_mean,12029,57803,10.10431671142578,0.3772468556995311,B_cell,1.0,0.3772468556995311,Macrophage,0.7714285714285715,0.0723965014577259,0.7714285714285715,16,22,0.0,4.996,B_cell 5/5; Hepatocyte 4/5; Macrophage 1/6; NK_cytotoxic_T 6/6
HCC,5629.6,10,B_cell,2,pseudobulk_cpm,12029,57803,10.10431671142578,0.2692074805805927,Hepatocyte,0.0,0.1288860439769562,Macrophage,-0.3142857142857143,0.5440932944606415,-0.3142857142857143,18,22,0.0,5.3745,B_cell 4/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,2,cpm_mean,12029,57803,10.10431671142578,0.2666124595609224,Hepatocyte,0.0,0.1331245783090843,Macrophage,-0.2571428571428572,0.6227871720116619,-0.2571428571428572,18,22,0.0,5.3245,B_cell 4/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,20,B_cell,2,raw_mean,12029,57629,20.578754425048828,0.5945444134029741,B_cell,1.0,0.5945444134029741,CD4_T,1.0,0.0,1.0,14,22,0.0,5.1855,B_cell 5/5; Hepatocyte 4/5; Macrophage 4/6; NK_cytotoxic_T 1/6
HCC,5629.6,20,B_cell,2,zscale_mean,12029,57629,20.578754425048828,0.5843759218449045,B_cell,1.0,0.5843759218449045,CD4_T,1.0,0.0,1.0,14,22,0.0,5.321,B_cell 5/5; Hepatocyte 4/5; Macrophage 4/6; NK_cytotoxic_T 1/6
