cohort,target_depth,spread,deep_type,seed,method,n_cells,n_genes_expressed,realised_spread,top_share,top_type,deep_wins,deep_type_share,shallowest_type,rho_depth_share,p_depth_share,rho_detection_share,markers_correct,markers_total,perm_p,null_mean,per_lineage
HCC,5629.6,5,B_cell,0,cpm_mean,12029,57971,5.01115083694458,0.2714978178744545,Hepatocyte,0.0,0.1439512859878215,Endothelial_stromal,-0.2571428571428572,0.6227871720116619,-0.2571428571428572,19,22,0.0,5.075,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,0,raw_mean,12029,57769,10.109910011291504,0.5124374664612509,B_cell,1.0,0.5124374664612509,Macrophage,0.942857142857143,0.004804664723032055,0.942857142857143,9,22,0.0005,4.277,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,10,B_cell,0,zscale_mean,12029,57769,10.109910011291504,0.5019820318856134,B_cell,1.0,0.5019820318856134,Macrophage,0.942857142857143,0.004804664723032055,0.942857142857143,10,22,0.0005,4.36,B_cell 5/5; Hepatocyte 5/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,10,B_cell,0,lognorm_mean,12029,57769,10.109910011291504,0.3976180996728349,Hepatocyte,0.0,0.38655680382211915,Macrophage,0.8857142857142858,0.01884548104956266,0.8857142857142858,15,22,0.0,4.574,B_cell 5/5; Hepatocyte 4/5; Macrophage 1/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,0,pseudobulk_cpm,12029,57769,10.109910011291504,0.2578372483511918,Hepatocyte,0.0,0.13043327736329174,Macrophage,-0.08571428571428573,0.8717434402332361,-0.08571428571428573,20,22,0.0,4.9855,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,10,B_cell,0,cpm_mean,12029,57769,10.109910011291504,0.2545309768214786,Hepatocyte,0.0,0.1358860288389967,Macrophage,-0.08571428571428573,0.8717434402332361,-0.08571428571428573,20,22,0.0,5.078,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,20,B_cell,0,raw_mean,12029,57670,20.208633422851562,0.6673833882434541,B_cell,1.0,0.6673833882434541,Macrophage,0.8857142857142858,0.01884548104956266,0.8857142857142858,9,22,0.0005,3.8515,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,0,zscale_mean,12029,57670,20.208633422851562,0.6611756545864401,B_cell,1.0,0.6611756545864401,Macrophage,0.8857142857142858,0.01884548104956266,0.8857142857142858,9,22,0.0,3.6295,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 0/6
HCC,5629.6,20,B_cell,0,lognorm_mean,12029,57670,20.208633422851562,0.4549159008149818,B_cell,1.0,0.4549159008149818,Macrophage,0.7714285714285715,0.07239650145772594,0.7714285714285715,11,22,0.0,4.2185,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 2/6
HCC,5629.6,20,B_cell,0,pseudobulk_cpm,12029,57670,20.208633422851562,0.23993410785503727,Hepatocyte,0.0,0.13672620079764175,Macrophage,-0.6,0.208,-0.6,19,22,0.0,5.2075,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,20,B_cell,0,cpm_mean,12029,57670,20.208633422851562,0.2463846020461245,Hepatocyte,0.0,0.13471475637246402,Macrophage,-0.5428571428571429,0.26570262390670546,-0.5428571428571429,19,22,0.0,5.2695,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,40,B_cell,0,raw_mean,12029,57487,40.99270248413086,0.7533529319672274,B_cell,1.0,0.7533529319672274,Macrophage,0.942857142857143,0.004804664723032055,0.942857142857143,13,22,0.0,5.031,B_cell 5/5; Hepatocyte 2/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,0,zscale_mean,12029,57487,40.99270248413086,0.7534746986275158,B_cell,1.0,0.7534746986275158,Macrophage,0.942857142857143,0.004804664723032055,0.942857142857143,13,22,0.0,5.0355,B_cell 5/5; Hepatocyte 2/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,0,lognorm_mean,12029,57487,40.99270248413086,0.570459408214031,B_cell,1.0,0.570459408214031,Macrophage,0.942857142857143,0.004804664723032055,0.942857142857143,15,22,0.0,5.065,B_cell 5/5; Hepatocyte 4/5; Macrophage 0/6; NK_cytotoxic_T 6/6
HCC,5629.6,40,B_cell,0,pseudobulk_cpm,12029,57487,40.99270248413086,0.2519178248995425,Hepatocyte,0.0,0.13474350722772105,Macrophage,-0.6,0.208,-0.6,20,22,0.0,5.207,B_cell 5/5; Hepatocyte 5/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,40,B_cell,0,cpm_mean,12029,57487,40.99270248413086,0.24617739662880303,Hepatocyte,0.0,0.13559587384973995,Macrophage,-0.6571428571428573,0.1561749271137024,-0.6571428571428573,20,22,0.0,5.2585,B_cell 5/5; Hepatocyte 5/5; Macrophage 5/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,raw_mean,12029,58276,1.0032119750976562,0.2973436749262132,Hepatocyte,0.0,0.14707598325211066,CD4_T,,,0.48571428571428577,20,22,0.0,5.0725,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,zscale_mean,12029,58276,1.0032119750976562,0.30794838355412174,Hepatocyte,0.0,0.1430091289724758,CD4_T,,,0.3142857142857143,20,22,0.0,5.03,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,lognorm_mean,12029,58276,1.0032119750976562,0.3070217585283822,Hepatocyte,0.0,0.14978721943853388,CD4_T,,,0.2,20,22,0.0,5.0365,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,1,pseudobulk_cpm,12029,58276,1.0032119750976562,0.2961939735053882,Hepatocyte,0.0,0.15110851808634773,CD4_T,,,0.2,20,22,0.0,5.0725,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
