cohort,target_depth,spread,deep_type,seed,cell_type,n_cells,imposed_factor,realised_median_rowsum,detection_rate,mean_lognorm_profile,mean_cpm_profile,mean_raw_profile,mean_zscale_profile,share_raw_mean,share_zscale_mean,share_lognorm_mean,share_pseudobulk_cpm,share_cpm_mean
LUAD,2818.2000000000007,natural,none,-1,B_cell,10340,,9063.0,0.2139274646950982,0.2424398612329813,0.544099348816763,0.8860747954392064,0.11093912528508874,0.6423635671146417,0.6266390989716524,0.20746504162359214,0.22808640295989988,0.1624680341694325
LUAD,2818.2000000000007,natural,none,-1,Endothelial,8444,,7656.5,0.19068620203873196,0.2337263889734459,0.5440992626657374,0.6435322013062041,-0.006099770431529382,0.02802111105065564,0.028619620218727895,0.04809837314326133,0.038195766907883996,0.057837749605528045
LUAD,2818.2000000000007,natural,none,-1,Epithelial,6178,,9057.5,0.20742461840787205,0.24131774875383682,0.5440993018941693,0.7282463300911136,0.04582326901804532,0.1283530115893139,0.13194406659774743,0.2059415637412264,0.17280591979977147,0.17171772131236737
LUAD,2818.2000000000007,natural,none,-1,Fibroblast,10773,,3218.0,0.12194523401290949,0.18291082272884157,0.5440992126700921,0.3684780131000694,-0.15990930109537507,0.0019587572773273844,0.00201316720169759,0.0038631046302845637,0.10365090592524076,0.1261766146145057
LUAD,2818.2000000000007,natural,none,-1,Macrophage,9081,,6883.0,0.17482710243477984,0.22578993414080847,0.5440992861634587,0.5581613661268495,-0.051133929562833434,0.07067849175689646,0.07214755971489199,0.16649436857282768,0.22531149681701942,0.2251482670439088
LUAD,2818.2000000000007,natural,none,-1,T_NK,13296,,10580.5,0.2124141021855676,0.2439131709697247,0.544099463001602,0.7672656693543598,0.04307970051114229,0.1286250612111649,0.13863648729528266,0.3681375482888079,0.23194950759018446,0.25665161325425756
LUAD,2818.2000000000007,1,B_cell,0,B_cell,10340,1.0,2811.0,0.0957265953079492,0.18226913104879344,0.5440988849284417,0.14744516989840917,0.004258270970602125,0.19935796289243157,0.20039175145546548,0.20202404918657163,0.16959573426192937,0.16698405789215953
LUAD,2818.2000000000007,1,B_cell,0,Endothelial,8444,1.0,2812.0,0.09391848257152045,0.1803401527554403,0.5440991334401499,0.14753921773787246,0.006000103930164636,0.08085314761412482,0.07938407965612927,0.07187551009304097,0.06453017030306328,0.06697861689972251
LUAD,2818.2000000000007,1,B_cell,0,Epithelial,6178,1.0,2810.0,0.09552602122969402,0.18209145860481307,0.5440993049057969,0.1474473634181875,0.008581402441007023,0.2037651667664182,0.20751945154796234,0.20545187442189455,0.1784101420099026,0.17389411828717558
LUAD,2818.2000000000007,1,B_cell,0,Fibroblast,10773,1.0,2769.0,0.07316736862691561,0.154114348777274,0.5440989205677292,0.12777919471867466,-0.03455150207989826,0.007508569563088307,0.0058218619076119485,0.006365961151313999,0.10784047010174656,0.12340170847162522
LUAD,2818.2000000000007,1,B_cell,0,Macrophage,9081,1.0,2810.0,0.09165958179915355,0.1776266582220977,0.5440990883910146,0.14594036505721916,0.0029516676701645,0.21715000816148866,0.21606180967408456,0.2016431797159802,0.22150280211110507,0.21872789596822462
LUAD,2818.2000000000007,1,B_cell,0,T_NK,13296,1.0,2810.0,0.09553458539907729,0.1818984270050787,0.5440989420004537,0.1466978888621968,-0.001936562299516318,0.2913651450024484,0.2908210457587464,0.31263942543119866,0.2581206812122531,0.25001360248109256
LUAD,2818.2000000000007,2,B_cell,0,B_cell,10340,1.0,2812.0,0.09574306979651218,0.18233081516767635,0.5442471932695421,0.14752190621724123,0.08672405026099103,0.7225971481441167,0.7139980407096985,0.5306955480570371,0.16218569718079895,0.16175029933601828
LUAD,2818.2000000000007,2,B_cell,0,Endothelial,8444,0.8705505632961241,2446.0,0.08566792157202031,0.1721758407908852,0.544247097711201,0.1284822546245165,0.04701273190380409,0.17818656797648852,0.17345161641449874,0.17410471318166976,0.06645259605964951,0.0694459562425166
LUAD,2818.2000000000007,2,B_cell,0,Epithelial,6178,0.5743491774985174,1611.0,0.06351370294574228,0.14666270441515752,0.5442469318932946,0.08473631913971362,-0.04795086455457281,0.02536192445847393,0.03211059105257429,0.06324153695439208,0.18401001415042995,0.18041798193098943
LUAD,2818.2000000000007,2,B_cell,0,Fibroblast,10773,0.5,1369.0,0.04656065094441517,0.11978027221141757,0.5442475011961503,0.06391213875187224,-0.0986053751534504,0.001904865570915424,0.0020137150321105912,0.0036464569500380974,0.11880918689452487,0.13018395558941984
