cohort,deep_type,spread,method,top_share_mean,deep_wins,n,markers_correct_mean
LUAD,B_cell,1,raw_mean,0.288605733370573,0.0,3,24.0
LUAD,B_cell,1,zscale_mean,0.28831553526357256,0.0,3,23.666666666666668
LUAD,B_cell,2,cpm_mean,0.24565537024168002,0.0,3,23.666666666666668
LUAD,B_cell,2,lognorm_mean,0.5435382610320345,3.0,3,24.0
LUAD,B_cell,2,pseudobulk_cpm,0.25305664098057973,0.0,3,23.666666666666668
LUAD,B_cell,2,raw_mean,0.7383436918822208,3.0,3,20.666666666666668
LUAD,B_cell,2,zscale_mean,0.7276773785846071,3.0,3,21.333333333333332
LUAD,B_cell,5,cpm_mean,0.2342886977646563,0.0,3,23.666666666666668
LUAD,B_cell,5,lognorm_mean,0.7531719061427258,3.0,3,19.0
LUAD,B_cell,5,pseudobulk_cpm,0.23938655197812944,0.0,3,23.333333333333332
LUAD,B_cell,5,raw_mean,0.8816921177646888,3.0,3,12.0
LUAD,B_cell,5,zscale_mean,0.8694460221134722,3.0,3,13.333333333333334
LUAD,B_cell,10,cpm_mean,0.23212470216812733,0.0,3,24.0
LUAD,B_cell,10,lognorm_mean,0.8101236000186208,3.0,3,18.0
LUAD,B_cell,10,pseudobulk_cpm,0.23626268464470038,0.0,3,23.333333333333332
LUAD,B_cell,10,raw_mean,0.9196161903051775,3.0,3,11.0
LUAD,B_cell,10,zscale_mean,0.9076740750246793,3.0,3,12.0
LUAD,B_cell,20,cpm_mean,0.23188728471182452,0.0,3,23.333333333333332
LUAD,B_cell,20,lognorm_mean,0.8550436958242162,3.0,3,16.0
LUAD,B_cell,20,pseudobulk_cpm,0.2341563373056068,0.0,3,23.666666666666668
LUAD,B_cell,20,raw_mean,0.9485230686768972,3.0,3,10.333333333333334
LUAD,B_cell,20,zscale_mean,0.9364342384924175,3.0,3,11.333333333333334
LUAD,B_cell,40,cpm_mean,0.24587856128319877,0.0,3,24.666666666666668
LUAD,B_cell,40,lognorm_mean,0.8687774215088817,3.0,3,13.666666666666666
LUAD,B_cell,40,pseudobulk_cpm,0.24609635498274388,0.0,3,24.0
LUAD,B_cell,40,raw_mean,0.9551092668779319,3.0,3,9.666666666666666
LUAD,B_cell,40,zscale_mean,0.9424155946321351,3.0,3,10.333333333333334
LUAD,T_NK,1,cpm_mean,0.24906135478153443,3.0,3,23.666666666666668
LUAD,T_NK,1,lognorm_mean,0.3105693709994029,3.0,3,23.666666666666668
LUAD,T_NK,1,pseudobulk_cpm,0.25642569876346083,3.0,3,23.666666666666668
LUAD,T_NK,1,raw_mean,0.2873338401960071,3.0,3,23.666666666666668
LUAD,T_NK,1,zscale_mean,0.28769657894698814,3.0,3,23.666666666666668
LUAD,T_NK,2,cpm_mean,0.24388247064948834,3.0,3,23.333333333333332
LUAD,T_NK,2,lognorm_mean,0.5299211275973617,3.0,3,23.333333333333332
LUAD,T_NK,2,pseudobulk_cpm,0.24957822487465886,3.0,3,23.666666666666668
LUAD,T_NK,2,raw_mean,0.644470441825371,3.0,3,21.666666666666668
LUAD,T_NK,2,zscale_mean,0.6348022745691712,3.0,3,21.333333333333332
LUAD,T_NK,5,cpm_mean,0.2244805040160597,3.0,3,24.0
LUAD,T_NK,5,lognorm_mean,0.6757305178525423,3.0,3,20.666666666666668
LUAD,T_NK,5,pseudobulk_cpm,0.23103056824432933,3.0,3,24.333333333333332
LUAD,T_NK,5,raw_mean,0.8187979796945056,3.0,3,17.333333333333332
LUAD,T_NK,5,zscale_mean,0.7967161875732236,3.0,3,18.0
LUAD,T_NK,10,cpm_mean,0.22013068221676016,1.0,3,23.333333333333332
LUAD,T_NK,10,lognorm_mean,0.6794840637466769,3.0,3,17.0
LUAD,T_NK,10,pseudobulk_cpm,0.22263498431313378,1.0,3,23.333333333333332
LUAD,T_NK,10,raw_mean,0.8170864997535411,3.0,3,14.0
LUAD,T_NK,10,zscale_mean,0.7916819217232399,3.0,3,14.0
LUAD,T_NK,20,cpm_mean,0.22596533802270966,0.0,3,25.0
LUAD,T_NK,20,lognorm_mean,0.7594949280402945,3.0,3,18.333333333333332
LUAD,T_NK,20,pseudobulk_cpm,0.2258564707940505,0.0,3,24.666666666666668
LUAD,T_NK,20,raw_mean,0.901300149887364,3.0,3,13.0
LUAD,T_NK,20,zscale_mean,0.8731676270864878,3.0,3,13.666666666666666
LUAD,T_NK,40,cpm_mean,0.2585082581829265,0.0,3,24.333333333333332
LUAD,T_NK,40,lognorm_mean,0.7939609319376922,3.0,3,14.666666666666666
LUAD,T_NK,40,pseudobulk_cpm,0.25986959965559947,0.0,3,23.666666666666668
LUAD,T_NK,40,raw_mean,0.9151545052722159,3.0,3,11.333333333333334
LUAD,T_NK,40,zscale_mean,0.8958029757442536,3.0,3,12.0
