cohort,seed,mixture_variant,geneset,method,truth,n_genes,rmse,pearson_r,n_degenerate,deepest_type,bias_deepest,max_abs_bias_type,max_abs_bias,bias__B_cell,bias__CD4_T,bias__Endothelial_stromal,bias__Hepatocyte,bias__Macrophage,bias__NK_cytotoxic_T,bias__Endothelial,bias__Epithelial,bias__Fibroblast,bias__Mast,bias__Other_Myeloid,bias__T_NK
HCC,0,rawsum,common,raw_mean,cellfrac,1200,0.04733665888310651,0.9457588773288521,0,Endothelial_stromal,-0.02070281404366108,CD4_T,0.05290032235077152,-0.010376775206693938,0.05290032235077152,-0.02070281404366108,0.004187416057323415,-0.007762746823489561,-0.018245402334250378,,,,,,
HCC,0,rawsum,common,raw_mean,fragfrac,1200,0.08166708439661688,0.8449341772162394,0,Endothelial_stromal,-0.09827765932551313,CD4_T,0.10842640154612684,-0.04453186254527626,0.10842640154612684,-0.09827765932551313,-0.007489766691884722,0.030091992032525768,0.011780894984021507,,,,,,
HCC,0,rawsum,common,zscale_mean,cellfrac,1200,0.1748925851606633,0.2032490413451449,0,Endothelial_stromal,0.013853702939331016,NK_cytotoxic_T,0.2372272823078735,-0.09310104186414984,-0.16352,0.013853702939331016,-0.0041150700091231816,0.009655126626068636,0.2372272823078735,,,,,,
HCC,0,rawsum,common,zscale_mean,fragfrac,1200,0.18229855958807764,0.17994382048016183,0,Endothelial_stromal,-0.063721142342521,NK_cytotoxic_T,0.2672535796261452,-0.12725612920273213,-0.10799392080464465,-0.063721142342521,-0.015792252758331324,0.04750986548208394,0.2672535796261452,,,,,,
HCC,0,rawsum,common,lognorm_mean,cellfrac,1200,0.07440884648155535,0.8695900478448932,0,Endothelial_stromal,0.0655829289834026,Hepatocyte,0.07505779789771261,-0.013906225399572609,-0.042035928463484404,0.0655829289834026,0.07505779789771261,-0.03886366523942282,-0.04583490777863536,,,,,,
HCC,0,rawsum,common,lognorm_mean,fragfrac,1200,0.054842965211136095,0.9333065011887596,0,Endothelial_stromal,-0.011991916298449493,Hepatocyte,0.0633806151485045,-0.048061312738154935,0.013490150731870905,-0.011991916298449493,0.0633806151485045,-0.0010089263834075063,-0.01580861046036346,,,,,,
HCC,0,rawsum,common,lognorm_mean_expm1,cellfrac,1200,0.06539696913603493,0.8935040474004385,0,Endothelial_stromal,0.05962449582372752,Endothelial_stromal,0.05962449582372752,-0.02540170830598425,-0.01583754886397201,0.05962449582372752,0.047457069644273424,-0.03399112003745399,-0.031851188260590704,,,,,,
HCC,0,rawsum,common,lognorm_mean_expm1,fragfrac,1200,0.056453928331144494,0.9302020380542871,0,Endothelial_stromal,-0.017950349458124504,B_cell,0.05955679564456659,-0.05955679564456659,0.03968853033138328,-0.017950349458124504,0.03577988689506528,0.0038636188185613312,-0.0018248909423188092,,,,,,
HCC,0,rawsum,common,pseudobulk_cpm,cellfrac,1200,0.06321449727176454,0.9024306159840151,0,Endothelial_stromal,0.06905482575797608,Endothelial_stromal,0.06905482575797608,-0.007628537023072025,-0.016614921427031772,0.06905482575797608,0.029079305423674998,-0.03676540821481068,-0.03712526451673661,,,,,,
HCC,0,rawsum,common,pseudobulk_cpm,fragfrac,1200,0.04227263256213899,0.9617449216238947,0,Endothelial_stromal,-0.008520019523875955,B_cell,0.041783624361654365,-0.041783624361654365,0.03891115776832355,-0.008520019523875955,0.017402122674466846,0.0010893306412046453,-0.007098967198464723,,,,,,
HCC,0,rawsum,common,depth_matched,cellfrac,1200,0.06424852818418751,0.8970151964730753,0,Endothelial_stromal,0.058919971366250753,Endothelial_stromal,0.058919971366250753,-0.032801065049041254,0.010138636577388027,0.058919971366250753,0.03245395735754879,-0.026917647444953365,-0.04179385280719301,,,,,,
HCC,0,rawsum,common,depth_matched,fragfrac,1200,0.059816759098020644,0.9216345933921528,0,Endothelial_stromal,-0.01865487391560127,B_cell,0.06695615238762359,-0.06695615238762359,0.06566471577274335,-0.01865487391560127,0.02077677460834064,0.010937091411061972,-0.011767555488921116,,,,,,
HCC,0,rawsum,common,cpm_mean,cellfrac,1200,0.07446094108987655,0.8604117793695423,0,Endothelial_stromal,0.06698832442979695,Endothelial_stromal,0.06698832442979695,-0.06181454143177437,0.019645883665103052,0.06698832442979695,0.03735065434074492,-0.02373124666859267,-0.03843907433527787,,,,,,
HCC,0,rawsum,common,cpm_mean,fragfrac,1200,0.0726045273748557,0.8791863521720823,0,Endothelial_stromal,-0.010586520852055116,B_cell,0.09596962877035667,-0.09596962877035667,0.0751719628604584,-0.010586520852055116,0.0256734715915368,0.014123492187422655,-0.008412777017006,,,,,,
HCC,0,rawsum,own,raw_mean,cellfrac,1200,0.03114536169478669,0.9773536298029001,0,Endothelial_stromal,-0.01743140515582202,Endothelial_stromal,0.01743140515582202,0.006396019437157689,0.009492940864940468,-0.01743140515582202,0.016897901376265286,-0.004657490551152133,-0.010697965971389287,,,,,,
HCC,0,rawsum,own,raw_mean,fragfrac,1200,0.06780119029513165,0.8955323798779924,0,Endothelial_stromal,-0.09500625043767409,Endothelial_stromal,0.09500625043767409,-0.02775906790142464,0.06501902006029579,-0.09500625043767409,0.005220718627057145,0.03319724830486319,0.019328331346882596,,,,,,
HCC,0,rawsum,own,zscale_mean,cellfrac,1200,0.21083035031402295,0.09721639896412997,0,Endothelial_stromal,0.0070013213321411675,NK_cytotoxic_T,0.3435543551308792,-0.10368063067218819,-0.16352,0.0070013213321411675,-0.050144960265521,-0.03321008552531107,0.3435543551308792,,,,,,
HCC,0,rawsum,own,zscale_mean,fragfrac,1200,0.21961580751023657,0.059552116295604966,0,Endothelial_stromal,-0.07057352394971085,NK_cytotoxic_T,0.3735806524491509,-0.13783571801077055,-0.10799392080464465,-0.07057352394971085,-0.06182214301472916,0.004644653330704244,0.3735806524491509,,,,,,
HCC,0,rawsum,own,lognorm_mean,cellfrac,1200,0.05817021161235569,0.9166969143351977,0,Endothelial_stromal,0.0614168940287694,Endothelial_stromal,0.0614168940287694,-0.019064928459657893,-0.0027904996666509884,0.0614168940287694,0.03646503377467368,-0.033616702566854714,-0.04240979711027951,,,,,,
HCC,0,rawsum,own,lognorm_mean,fragfrac,1200,0.047070316705559716,0.9527601534673935,0,Endothelial_stromal,-0.01615795125308266,B_cell,0.05322001579824022,-0.05322001579824022,0.05273557952870433,-0.01615795125308266,0.024787851025465536,0.004238036289160619,-0.012383499792007615,,,,,,
HCC,0,rawsum,own,lognorm_mean_expm1,cellfrac,1200,0.05768552269069316,0.9191832648427686,0,Endothelial_stromal,0.05695276258094224,Endothelial_stromal,0.05695276258094224,-0.025149556996217938,0.013921723800480306,0.05695276258094224,0.024366161047445677,-0.03089042467879994,-0.03920066575385037,,,,,,
HCC,0,rawsum,own,lognorm_mean_expm1,fragfrac,1200,0.05475664754913418,0.9396067428209857,0,Endothelial_stromal,-0.02062208270090983,CD4_T,0.06944780299583558,-0.05930464433480025,0.06944780299583558,-0.02062208270090983,0.012688978298237537,0.006964314177215386,-0.009174368435578468,,,,,,
HCC,0,rawsum,own,pseudobulk_cpm,cellfrac,1200,0.06270997697687257,0.9053446586452292,0,Endothelial_stromal,0.07583700620325569,Endothelial_stromal,0.07583700620325569,0.0024110909518915563,-0.04510066422415576,0.07583700620325569,0.029305993485538494,-0.03236297228788664,-0.030090454128643376,,,,,,
HCC,0,rawsum,own,pseudobulk_cpm,fragfrac,1200,0.03239573166800928,0.9780187760911624,0,Endothelial_stromal,-0.0017378390785963123,B_cell,0.03174399638669076,-0.03174399638669076,0.010425414971199524,-0.0017378390785963123,0.01762881073633036,0.005491766568128684,-6.415681037148708e-05,,,,,,
HCC,0,rawsum,own,depth_matched,cellfrac,1200,0.06367088870313273,0.8990217257875455,0,Endothelial_stromal,0.05523891437532256,NK_cytotoxic_T,0.05569054697628799,-0.023141488538434497,0.0256855509687656,0.05523891437532256,0.026886801764729015,-0.028979231594094657,-0.05569054697628799,,,,,,
HCC,0,rawsum,own,depth_matched,fragfrac,1200,0.060503230466663935,0.9208118527363017,0,Endothelial_stromal,-0.022335930906529508,CD4_T,0.08121163016412095,-0.057296575877016795,0.08121163016412095,-0.022335930906529508,0.015209619015520854,0.008875507261920677,-0.025664249658016124,,,,,,
HCC,0,rawsum,own,cpm_mean,cellfrac,1200,0.07446094108987655,0.8604117793695423,0,Endothelial_stromal,0.06698832442979695,Endothelial_stromal,0.06698832442979695,-0.06181454143177437,0.019645883665103052,0.06698832442979695,0.03735065434074492,-0.02373124666859267,-0.03843907433527787,,,,,,
HCC,0,rawsum,own,cpm_mean,fragfrac,1200,0.0726045273748557,0.8791863521720823,0,Endothelial_stromal,-0.010586520852055116,B_cell,0.09596962877035667,-0.09596962877035667,0.0751719628604584,-0.010586520852055116,0.0256734715915368,0.014123492187422655,-0.008412777017006,,,,,,
HCC,0,cellnorm,common,raw_mean,cellfrac,1200,0.0642579461282415,0.9043423902964458,0,Endothelial_stromal,-0.0696712590692347,CD4_T,0.0739724793168295,-0.008808419093410867,0.0739724793168295,-0.0696712590692347,-0.025013900023863216,0.020769953104134525,0.008751145765544732,,,,,,
HCC,0,cellnorm,common,raw_mean,fragfrac,1200,0.11378849831650474,0.7136618877135689,0,Endothelial_stromal,-0.14724610435108676,Endothelial_stromal,0.14724610435108676,-0.0429635064319932,0.12949855851218478,-0.14724610435108676,-0.03669108277307135,0.058624691960149855,0.03877744308381663,,,,,,
HCC,0,cellnorm,common,zscale_mean,cellfrac,1200,0.1762127615885717,0.20831066926941535,0,Endothelial_stromal,0.001547986994085958,NK_cytotoxic_T,0.24579869562333895,-0.0918574410190035,-0.16352,0.001547986994085958,-0.00815545783892251,0.016186216240501046,0.24579869562333895,,,,,,
