cohort,mixture_variant,geneset,method,cell_type,bias_cellfrac,bias_fragfrac,mean_true_cellfrac,mean_true_fragfrac,mean_est,median_true_depth,is_deepest
COAD,cellnorm,common,cpm_mean,B_cell,0.004917189709680098,-0.053719518280055036,0.12613333333333335,0.18477004132306848,0.13105052304301343,6151.5,0
COAD,cellnorm,common,cpm_mean,Endothelial,0.003750390414830574,0.036591892049258036,0.13625333333333334,0.10341183169890587,0.14000372374816392,2353.0,0
COAD,cellnorm,common,cpm_mean,Epithelial,0.0010223110375708595,-0.030696515136456187,0.11710666666666666,0.1488254928406937,0.11812897770423753,4641.0,0
COAD,cellnorm,common,cpm_mean,Fibroblast,-0.022967843334154945,0.059360000604606826,0.11417999999999999,0.03185215606123823,0.09121215666584505,523.0,0
COAD,cellnorm,common,cpm_mean,Macrophage,-0.013461739018104296,0.09090457026390501,0.12586,0.021493690717990684,0.1123982609818957,582.5,0
COAD,cellnorm,common,cpm_mean,Mast,0.038366457774557314,-0.24877342733598914,0.13228666666666666,0.4194265517772131,0.170653124441224,19223.0,1
COAD,cellnorm,common,cpm_mean,Other_Myeloid,-0.008522451774581403,0.03661556181078656,0.11458666666666666,0.0694486530812987,0.10606421489208527,708.5,0
COAD,cellnorm,common,cpm_mean,T_NK,-0.003104314809798204,0.10971743602394393,0.13359333333333334,0.020771582499591205,0.13048901852353514,552.0,0
COAD,cellnorm,common,depth_matched,B_cell,0.0005066965734960592,-0.05813001141623908,0.12613333333333335,0.18477004132306848,0.12664002990682938,6151.5,0
COAD,cellnorm,common,depth_matched,Endothelial,0.01563995454512229,0.048481456179549756,0.13625333333333334,0.10341183169890587,0.1518932878784556,2353.0,0
COAD,cellnorm,common,depth_matched,Epithelial,0.007737542699174126,-0.023981283474852923,0.11710666666666666,0.1488254928406937,0.1248442093658408,4641.0,0
COAD,cellnorm,common,depth_matched,Fibroblast,-0.02499446641534022,0.057333377523421554,0.11417999999999999,0.03185215606123823,0.08918553358465978,523.0,0
COAD,cellnorm,common,depth_matched,Macrophage,-0.0016753387277565427,0.10269097055425278,0.12586,0.021493690717990684,0.12418466127224347,582.5,0
COAD,cellnorm,common,depth_matched,Mast,0.0065885471971974564,-0.280551337913349,0.13228666666666666,0.4194265517772131,0.13887521386386412,19223.0,1
COAD,cellnorm,common,depth_matched,Other_Myeloid,-0.018135154305625793,0.027002859279742168,0.11458666666666666,0.0694486530812987,0.09645151236104088,708.5,0
COAD,cellnorm,common,depth_matched,T_NK,0.014332218433732613,0.12715396926747474,0.13359333333333334,0.020771582499591205,0.14792555176706595,552.0,0
COAD,cellnorm,common,lognorm_mean,B_cell,-0.03294965430491804,-0.09158636229465318,0.12613333333333335,0.18477004132306848,0.0931836790284153,6151.5,0
COAD,cellnorm,common,lognorm_mean,Endothelial,0.04001837337168474,0.0728598750061122,0.13625333333333334,0.10341183169890587,0.17627170670501807,2353.0,0
COAD,cellnorm,common,lognorm_mean,Epithelial,-0.02545103262893484,-0.05716985880296189,0.11710666666666666,0.1488254928406937,0.09165563403773183,4641.0,0
COAD,cellnorm,common,lognorm_mean,Fibroblast,-0.03739817464011575,0.04492966929864602,0.11417999999999999,0.03185215606123823,0.07678182535988426,523.0,0
COAD,cellnorm,common,lognorm_mean,Macrophage,0.07777687915876448,0.1821431884407738,0.12586,0.021493690717990684,0.2036368791587645,582.5,0
COAD,cellnorm,common,lognorm_mean,Mast,-0.10100049341409566,-0.3881403785246421,0.13228666666666666,0.4194265517772131,0.031286173252571006,19223.0,1
COAD,cellnorm,common,lognorm_mean,Other_Myeloid,-0.01979630521879766,0.0253417083665703,0.11458666666666666,0.0694486530812987,0.09479036144786901,708.5,0
COAD,cellnorm,common,lognorm_mean,T_NK,0.09880040767641271,0.21162215851015484,0.13359333333333334,0.020771582499591205,0.23239374100974605,552.0,0
COAD,cellnorm,common,lognorm_mean_expm1,B_cell,-0.028074573220832358,-0.0867112812105675,0.12613333333333335,0.18477004132306848,0.09805876011250096,6151.5,0
COAD,cellnorm,common,lognorm_mean_expm1,Endothelial,-0.02524689937890682,0.007594602255520647,0.13625333333333334,0.10341183169890587,0.1110064339544265,2353.0,0
COAD,cellnorm,common,lognorm_mean_expm1,Epithelial,-0.0044433406202334805,-0.03616216679426053,0.11710666666666666,0.1488254928406937,0.1126633260464332,4641.0,0
COAD,cellnorm,common,lognorm_mean_expm1,Fibroblast,0.021607856195674447,0.10393570013443622,0.11417999999999999,0.03185215606123823,0.13578785619567446,523.0,0
COAD,cellnorm,common,lognorm_mean_expm1,Macrophage,0.07050984218217793,0.17487615146418722,0.12586,0.021493690717990684,0.19636984218217793,582.5,0
COAD,cellnorm,common,lognorm_mean_expm1,Mast,-0.08746017032373525,-0.3746000554342817,0.13228666666666666,0.4194265517772131,0.04482649634293141,19223.0,1
COAD,cellnorm,common,lognorm_mean_expm1,Other_Myeloid,-0.019468653620785748,0.025669359964582212,0.11458666666666666,0.0694486530812987,0.09511801304588093,708.5,0
COAD,cellnorm,common,lognorm_mean_expm1,T_NK,0.07257593878664129,0.18539768962038342,0.13359333333333334,0.020771582499591205,0.2061692721199746,552.0,0
COAD,cellnorm,common,pseudobulk_cpm,B_cell,0.033127718890309105,-0.025508989099426036,0.12613333333333335,0.18477004132306848,0.15926105222364242,6151.5,0
COAD,cellnorm,common,pseudobulk_cpm,Endothelial,0.13269520391514475,0.16553670554957223,0.13625333333333334,0.10341183169890587,0.26894853724847806,2353.0,0
COAD,cellnorm,common,pseudobulk_cpm,Epithelial,-0.03147684326653187,-0.06319566944055892,0.11710666666666666,0.1488254928406937,0.08562982340013481,4641.0,0
COAD,cellnorm,common,pseudobulk_cpm,Fibroblast,-0.030245287315965524,0.05208255662279625,0.11417999999999999,0.03185215606123823,0.08393471268403448,523.0,0
COAD,cellnorm,common,pseudobulk_cpm,Macrophage,-0.0030199527639047192,0.10134635651810459,0.12586,0.021493690717990684,0.12284004723609528,582.5,0
COAD,cellnorm,common,pseudobulk_cpm,Mast,-0.1031301933693897,-0.39027007847993617,0.13228666666666666,0.4194265517772131,0.02915647329727698,19223.0,1
COAD,cellnorm,common,pseudobulk_cpm,Other_Myeloid,-0.024243268349924157,0.020894745235443803,0.11458666666666666,0.0694486530812987,0.09034339831674251,708.5,0
COAD,cellnorm,common,pseudobulk_cpm,T_NK,0.02629262226026211,0.13911437309400423,0.13359333333333334,0.020771582499591205,0.15988595559359545,552.0,0
COAD,cellnorm,common,raw_mean,B_cell,-0.08137924061710045,-0.14001594860683558,0.12613333333333335,0.18477004132306848,0.04475409271623289,6151.5,0
COAD,cellnorm,common,raw_mean,Endothelial,0.016106414901028435,0.04894791653545591,0.13625333333333334,0.10341183169890587,0.15235974823436177,2353.0,0
COAD,cellnorm,common,raw_mean,Epithelial,-0.08824213320438148,-0.11996095937840853,0.11710666666666666,0.1488254928406937,0.028864533462285173,4641.0,0
COAD,cellnorm,common,raw_mean,Fibroblast,-0.002643616192559011,0.07968422774620276,0.11417999999999999,0.03185215606123823,0.11153638380744098,523.0,0
COAD,cellnorm,common,raw_mean,Macrophage,0.1384292404509509,0.2427955497329602,0.12586,0.021493690717990684,0.2642892404509509,582.5,0
COAD,cellnorm,common,raw_mean,Mast,-0.12967432129698322,-0.41681420640752964,0.13228666666666666,0.4194265517772131,0.002612345369683451,19223.0,1
COAD,cellnorm,common,raw_mean,Other_Myeloid,-0.06269557736389379,-0.017557563778525836,0.11458666666666666,0.0694486530812987,0.05189108930277287,708.5,0
COAD,cellnorm,common,raw_mean,T_NK,0.21009923332293864,0.32292098415668075,0.13359333333333334,0.020771582499591205,0.34369256665627196,552.0,0
COAD,cellnorm,common,zscale_mean,B_cell,0.09707942793642221,0.038442719946687076,0.12613333333333335,0.18477004132306848,0.22321276126975553,6151.5,0
COAD,cellnorm,common,zscale_mean,Endothelial,0.13028276372147504,0.1631242653559025,0.13625333333333334,0.10341183169890587,0.26653609705480835,2353.0,0
COAD,cellnorm,common,zscale_mean,Epithelial,-0.0768713680722438,-0.10859019424627085,0.11710666666666666,0.1488254928406937,0.04023529859442286,4641.0,0
COAD,cellnorm,common,zscale_mean,Fibroblast,-0.11417999999999999,-0.03185215606123823,0.11417999999999999,0.03185215606123823,0.0,523.0,0
COAD,cellnorm,common,zscale_mean,Macrophage,-0.0895791619437941,0.014787147338215218,0.12586,0.021493690717990684,0.036280838056205904,582.5,0
COAD,cellnorm,common,zscale_mean,Mast,0.18016763738868424,-0.1069722477218622,0.13228666666666666,0.4194265517772131,0.31245430405535096,19223.0,1
COAD,cellnorm,common,zscale_mean,Other_Myeloid,-0.09991057676039664,-0.054772563175028675,0.11458666666666666,0.0694486530812987,0.014676089906270038,708.5,0
COAD,cellnorm,common,zscale_mean,T_NK,-0.026988722270146977,0.08583302856359515,0.13359333333333334,0.020771582499591205,0.10660461106318636,552.0,0
COAD,cellnorm,own,cpm_mean,B_cell,0.004917189709680098,-0.053719518280055036,0.12613333333333335,0.18477004132306848,0.13105052304301343,6151.5,0
COAD,cellnorm,own,cpm_mean,Endothelial,0.003750390414830574,0.036591892049258036,0.13625333333333334,0.10341183169890587,0.14000372374816392,2353.0,0
COAD,cellnorm,own,cpm_mean,Epithelial,0.0010223110375708595,-0.030696515136456187,0.11710666666666666,0.1488254928406937,0.11812897770423753,4641.0,0
COAD,cellnorm,own,cpm_mean,Fibroblast,-0.022967843334154945,0.059360000604606826,0.11417999999999999,0.03185215606123823,0.09121215666584505,523.0,0
COAD,cellnorm,own,cpm_mean,Macrophage,-0.013461739018104296,0.09090457026390501,0.12586,0.021493690717990684,0.1123982609818957,582.5,0
COAD,cellnorm,own,cpm_mean,Mast,0.038366457774557314,-0.24877342733598914,0.13228666666666666,0.4194265517772131,0.170653124441224,19223.0,1
COAD,cellnorm,own,cpm_mean,Other_Myeloid,-0.008522451774581403,0.03661556181078656,0.11458666666666666,0.0694486530812987,0.10606421489208527,708.5,0
COAD,cellnorm,own,cpm_mean,T_NK,-0.003104314809798204,0.10971743602394393,0.13359333333333334,0.020771582499591205,0.13048901852353514,552.0,0
COAD,cellnorm,own,depth_matched,B_cell,-0.00036173522711315203,-0.058998443216848294,0.12613333333333335,0.18477004132306848,0.12577159810622018,6151.5,0
