cohort,seed,cell_type,rank,gene
HCC,0,B_cell,130,RN7SL767P
HCC,0,B_cell,131,MORF4L1P4
HCC,0,B_cell,132,LA16c-390E6.5
HCC,0,B_cell,133,CTC-518B2.12
HCC,0,B_cell,134,RP11-703I16.2
HCC,0,B_cell,135,ASS1P9
HCC,0,B_cell,136,VN1R8P
HCC,0,B_cell,137,RP11-563N6.7
HCC,0,B_cell,138,RP11-20L24.1
HCC,0,B_cell,139,CTC-484M2.1
HCC,0,B_cell,140,RP11-1023P17.2
HCC,0,B_cell,141,RP11-355I22.2
HCC,0,B_cell,142,RP11-287J9.1
HCC,0,B_cell,143,NANOGNBP2
HCC,0,B_cell,144,RP4-555D20.3
HCC,0,B_cell,145,TNFRSF13B
HCC,0,B_cell,146,RP11-775A1.2
HCC,0,B_cell,147,OR8R1P
HCC,0,B_cell,148,SPATA31A6
HCC,0,B_cell,149,KRTAP9-8
HCC,0,B_cell,150,RP11-654C22.1
HCC,0,B_cell,151,IGLV6-57
HCC,0,B_cell,152,MTND4P12
HCC,0,B_cell,153,POLR3GP2
HCC,0,B_cell,154,LINC00670
HCC,0,B_cell,155,NPIPB11
HCC,0,B_cell,156,KRT8P44
HCC,0,B_cell,157,IGHV3-7
HCC,0,B_cell,158,C12orf77
HCC,0,B_cell,159,RP11-353J17.5
HCC,0,B_cell,160,RPF2P2
HCC,0,B_cell,161,RP11-158I9.5
HCC,0,B_cell,162,RAMACL
HCC,0,B_cell,163,RP1-41C23.2
HCC,0,B_cell,164,RNU6-735P
HCC,0,B_cell,165,RP11-283G6.7
HCC,0,B_cell,166,NRBF2P3
HCC,0,B_cell,167,RP11-158I9.1
HCC,0,B_cell,168,RP11-23B5.2
HCC,0,B_cell,169,MYOCD
HCC,0,B_cell,170,SEM1P1
HCC,0,B_cell,171,RP1-228P16.7
HCC,0,B_cell,172,RP11-542M13.5
HCC,0,B_cell,173,RP1-273G13.1
HCC,0,B_cell,174,RP11-570P14.1
HCC,0,B_cell,175,CTC-436P18.4
HCC,0,B_cell,176,RP4-665J23.4
HCC,0,B_cell,177,LL22NC03-23C6.13
HCC,0,B_cell,178,RNA5SP291
HCC,0,B_cell,179,CHCHD2P1
HCC,0,B_cell,180,IGKV4-1
HCC,0,B_cell,181,SLC25A47P1
HCC,0,B_cell,182,RNU6-1189P
HCC,0,B_cell,183,RNU2-58P
HCC,0,B_cell,184,COPDA1
HCC,0,B_cell,185,RP11-754I20.1
HCC,0,B_cell,186,TRIM53BP
HCC,0,B_cell,187,IGKV3-20
HCC,0,B_cell,188,RP11-384P14.1
HCC,0,B_cell,189,RNU6-704P
HCC,0,B_cell,190,RPL32P23
